Year,Original title,English title,Role,Notes
1925,Grønkøbings glade gavtyve,Pat and Patachon are Millionaires,Bank director,Fy & Bi Film
1924,Der Mann um Mitternacht,The Man at Midnight,Knut Hammerdal,
1921,Det Største i Verden,Love that Lives,Thomas Ward,directed by Holger-Madsen
1920,Gudernes yndling,The Penalty of Fame,Pommel,
1919,Krigsmillionæren,The Parvenu,Jensen,directed by Emanuel Gregers
1916,Udenfor loven,Outside the Law,Brown,
1914,Tre indvendige Jomfruer,Three Maidens,,
1914,Lejla,Lejla,Horse trainer,
1913,Lille Klaus og store Klaus,,Lille Klaus,
1910,Dorian Grays Portræt,The Picture of Dorian Gray,,
