Year,Original title,English title,Role,Notes,Unused_1,Dummy_Col_2
1955,Ordet,The Word,Morten Borgen,directed by Carl Th. Dreyer,,mtwVh
1942,Med forenede kræfter,,,Propaganda film,,nRIRKR
1938,Bolettes brudefærd,,Carpenter Kristiansen,based on Malberg's play,,rIaIZV
1938,Kongen bød,,Jeppe,,,PUEWr
1937,"Kloge Mand, Den",The Clever Man,Shoemaker,,,eMDTDPvR
1936,Sol over Danmark,Sun Over Denmark,Pastor Nicolaj Jacobsen,,,WFmzFxwE
1933,Kobberbryllup,,Handelsgartner Johansen,,,UCZJMJT
1932,Paustians Uhr,Paustian's Clock,Mayor,,,EgSiNnr
1931,Præsten i Vejlby,The Vicar of Vejlby,Præsten Søren Quist,First Danish sound film,,QEOMYn
1930,Hr. Tell og søn,William Tell and Son,Uncle Jokum,Fy & Bi Film,,FYlvtz
1929,Højt paa en Kvist,,,Fy & Bi Film,,IsqBWoc
