Launch Date,STS Number,Payload Name,Payload Classification,ExperimentName,Payload Carrier Hardware
02/03/94,6 0,COB/GBAODERACS-1RBREMSAT,CAP,"BREMAN Satellite (BREMSAT),University ofBremen",GBAw/ HH Avionics
02/03/94,60,COB/GBAODERACS-1RBREMSAT,GAS,G-071G-514G-536G-557,GBAw/ HH Avionics
03/04/94,62,LDCE-06LDCE-07LDCE-08,CAP,LDCE-06LDCE-07LDCE-08,Adapter Beam
03/04/94,62,"<acronym title=\Office of Aeronautics and Space Technology\"">OAST</acronym>-2""",CAP,"Thermal Energy Storage(TES-1,TES-2)",HH Bridge
03/04/94,62,"<acronym title=\Office of Aeronautics and Space Technology\"">OAST</acronym>-2""",HH,"Cryogenic Two Phase (CRYOTP), NASA GSFC/USAF Phillips LabEmulsion Chamber Technology (ECT), NASA MSFCExperimental Investigation of Spacecraft Glow (EISG), NASA JSC/NASA GSFCSolar Array Module Plasma Interaction Experiment(SAMPIE), NASALeRCSpacecraft Kinetic Infrared Test(SKIRT), NASAJSC/ NASA GSFC",HH Bridge
02/03/95,63,"CGP/<acronym title=\orbital debris radar calibration sphere\"">ODERACS</acronym>-2""",HH,"Cryo System Experiment (CSE), HughesShuttle Glow(GLO-2), U of AZIMAX Cargo Bay Camera (ICBC)Orbital DebrisRadar Calibration System-II(ODERACS-II),USAF",HH Bridge
09/09/94,64,<acronym title=\Robot Operated Materials Processing,,,
"System\"">ROMPS</acronym>-1""",HH,Robot Operated Materials ProcessingSystem (ROMPS),Adapter Beam,,
09/09/94,64,GBA-7,GAS,G-178G-254G-325G-417G-453G-454G-456G-485G-506G-562,GBA
11/03/94,66,ESCAPE-2,CAP,ESCAPE-2,Adapter Beam
03/02/95,67,G-387G-388,GAS,G-387G-388,Adapter Beam
09/30/94,68,G-316G-503G-541,GAS,G-316G-503G-541,Adapter Beam
09/07/95,69,"<acronym title=\International EUV Hitchhiker\"">IEH-1</acronym>""",HH,"Ultraviolet SpectrographTelescope for AstronomicalResearch(UVSTAR), U of AZ/ESAShuttle Glow Experiment-3(GLO-3), U of AZSolar Extreme Ultraviolet HH(SEH), USC",HH Bridge
