Launch Date,STS Number,Payload Name,Payload Classification,ExperimentName,Payload Carrier Hardware
08/10/01,105,HEAT,Beam - Bay 4 Port,Beam for Contingency,AdapterBeam
09/08/00,106,G-782,GAS,G-782,Adapter Beam
09/08/00,106,SEM-08,SEM,SEM-08,AdapterBeam
11/29/02,107,FREESTAR,HH,"Mediterranean Israeli Dust Experiment (MEIDEX), Israeli Space AgencySolar Constant Experiment (SOLCON-03), Royal Meteorological Institute of BelgiumShuttle Ozone Limb Sounding Experiment (SOLSE-2), NASA GSFCCritical Viscosity of Xenon (CVX-2), NASA GRCLow Power Transceiver (LPT), NASA GSFC and ITT Industries",HH Bridge
11/29/02,107,FREESTAR,HH,SEM-14,HH Bridge
12/05/01,108,MACH-1,HH,"CAPL-3, NASA GSFC and the Naval Research LaboratorySTARSHINE-2, Rocky Mountain NASA Space Grant Consortium / USUPrototype Synchrotron Radiation Detector (PSRD), NASA JSC",GBA with HH Avionics
12/05/01,108,MACH-1,CAP,"Collisions Into Dust Experiment(COLLIDE-2), NASA GRC",GBAwith HH Avionics
12/05/01,108,MACH-1,GAS,G-761,GBAwith HH Avionics
12/05/01,108,MACH-1,SEM,SEM-11SEM-15,GBAwith HH Avionics
12/05/01,108,LMC,LMC Carrier,SEM-12,LMC Carrier
12/05/01,108,LMC,LMC Carrier,G-064G-730G-785,LMCCarrier
12/05/01,108,G-221G-775,GAS,G-221G-775,Adapter Beam</tbody>
