Launch Date,STS Number,Payload Name,Payload Classification,ExperimentName,Payload Carrier Hardware
03/22/82,3,"GAS, FVP",GAS,"GAS, FVP",Adapter Beam
06/27/82,4,G-001,GAS,G-001,Adapter Beam
11/11/82,5,G-026,GAS,G-026,Adapter Beam
04/04/83,6,G-005G-049G-381,GAS,G-005G-049G-381,Adapter Beam
06/18/83,7,G-002G-088G-009G-012G-033G-305G-345,GAS,G-002G-088G-009G-012G-033G-305G-345,Adapter Beam
08/30/83,8,G-346G-347G-348G-475,GAS,G-346G-347G-348G-475,Adapter Beam
02/03/84,10 (41-B),G-004G-008G-051G-309G-349,GAS,G-004G-008G-051G-309G-349,Adapter Beam
10/05/84,13 (41-G),G-007G-013G-032G-038G-074G-306G-469G-518,GAS,G-007G-013G-032G-038G-074G-306G-469G-518,Adapter Beam
04/12/85,16 (51-D),G-035G-471,GAS,G-035G-471,Adapter Beam
04/29//85,17 (51-B),G-010G-308,GAS,G-010G-308,Adapter Beam
06/17/85,18 (51-G),G-025G-027G-028G-034G-314G-471,GAS,G-025G-027G-028G-034G-314G-471,Adapter Beam
10/30/85,22 (61-A),G-308,GAS,G-308,Adapter Beam
11/26/85,23 (61-B),G-479,GAS,G-479,Adapter Beam
