Launch Date,STS Number,Payload Name,Payload Classification,ExperimentName,Payload Carrier Hardware
09/07/95,69,IEH-1,HH-Jr.,"ComplexAutonomousPayload(CONCAP IV-03),U of AL",HH Bridge
09/07/95,69,"<acronym title=\Capillary Pumped Loop/Get Away Special Bridge Assembly\"">CAPL/GBA</acronym>""",HH,"Capillary Pumped Loop (CAPL-2), NASA/GSFC",GBA
09/07/95,69,CAPL/GBA,CAP,TES-2,GBA
09/07/95,69,CAPL/GBA,GAS,G-515G-645/SREG-702/SREG-726,GBA
01/11/96,72,SLA-01,HH,"Shuttle Laser Altimeter-01 (SLA-01), NASA/GSFC",HH Bridge
01/11/96,72,SLA-01,CAP,TES-2,HHBridge
01/11/96,72,SLA-01,GAS,G-342G-459G-740,HHBridge
01/11/96,72,SLA-01,HH,"Shuttle Laser Altimeter-01(SLA-01),NASA/GSFC",HHBridge
11/12/95,74,GPP,HH,Shuttle Glow Experiment (GLO-4)Photogrammetric Appendage Structural Dynamics Experiment Payload (PASDE-01),Adapter Beam
03/22/96,76,G-312,GAS,G-312,Adapter Beam
05/19/96,77,TEAMS,HH,"Vented Tank Resupply Experiment (VTRE), NASA/LeRCGPS Attitude and Navigation Experiment (GANE), NASA/JSCLiquid Metal Thermal Experiment (LMTE), USAF Phillips LaboratoryPassive Aerodynamically-Stabilized Magnetically-Damped Satellite (PAMS), NASA GSFC",HH Bridge
05/19/96,77,TPCE-RF,CAP,TPCE-RF,GBA
05/19/96,77,G-056G-063G-142G-144G-163G-200G-490G-564G-565G-703G-741,GAS,G-056G-063G-142G-144G-163G-200G-490G-564G-565G-703G-741,GBA
