Launch Date,STS Number,Payload Name,Payload Classification,ExperimentName,Payload Carrier Hardware
"NRL</acronym>/<acronym title=\""United states air force\"">USAF</acronym>",,,,,
"SpaceTest Program""",Hitchhiker Bridge,,,,
06/05/91,40,GBA-2,GAS,G-021G-052G-091G-105G-286G-405G-408G-451G-455G-486G-507G-616,GBA
01/22/92,42,GBA-3,GAS Bridge Assembly-3,G-086G-140G-143G-329G-336G-337G-457G-609G-610G-614,GBA
08/02/91,43,TPCE-01,CAP,TPCE-01,Adapter Beam
03/24/92,45,G-229,GAS,G-229,Adapter Beam
07/31/92,46,"<acronym title=\Consortium Complex Autonomous Payload\"">CONCAP",,,
IV-03</acronym>-II-01,,,,,
CONCAP-III-01,,,,,
"<acronym title=\""Limited Duration Space Environment Candidate Materials Exposure\""></acronym>""",CAP,"<acronym title=\Limited Duration Space Environment Candidate Materials Exposure\"">LDCE</acronym>-01",,,
LDCE-02,,,,,
"LDCE-03""",Adapter Beam,,,,
09/12/92,47,GBA-4,GAS,G-102G-255G-300G-330G-482G-520G-521G-534G-613,Adapter Beam
