Game,Date,Opponent,Venue,Result,Attendance,Goalscorers
36,31 March 1979,Bournemouth,Home,1–0,"5,527",Houghton
37,3 April 1979,Hartlepool United,Away,1–1,"2,081",Houghton
38,7 April 1979,Torquay United,Away,1–1,"2,969",Houghton
39,13 April 1979,Port Vale,Home,5–3,"8,452","Houghton (3), Brownbill, Moore"
40,14 April 1979,Crewe Alexandra,Away,1–1,"4,604",Purdie (pen.)
41,16 April 1979,Hartlepool United,Home,2–2,"8,217","Wright, Purdie"
42,21 April 1979,Aldershot,Away,0–1,"5,466",
43,28 April 1979,Darlington,Home,2–2,"6,153","Moore, Brownbill"
44,1 May 1979,Scunthorpe United,Away,1–0,"1,582",Gore
45,5 May 1979,Bournemouth,Away,1–2,"3,063",Purdie
46,7 May 1979,Bradford City,Away,1–1,"3,748",Moore
