Game,Date,Opponent,Venue,Result,Attendance,Goalscorers,Dummy_Col_1,Extra_Data_2,Irrelevant_3
25,14 February 1979,Wimbledon,Home,1–2,"6,704",Purdie (pen.),dyMSDzY,309,eH3xfT
26,17 February 1979,Huddersfield Town,Home,2–1,"7,420",Ward (2),nYMSmYTc,872,ZuGlcbs0
27,24 February 1979,Doncaster Rovers,Away,1–0,"4,612",Wright,pXJDNPw,104,utgOD3
28,28 February 1979,York City,Home,1–1,"5,896",Houghton,skToPN,464,Nzx4w5yp
29,3 March 1979,Barnsley,Home,1–1,"9,427",Wright,hkhWFLDH,681,Chq4jcYh
30,10 March 1979,Northampton Town,Away,4–2,"2,275","Brownbill (2), Purdie, Corrigan",saMrEuJT,740,RIAFwpte
31,14 March 1979,Torquay United,Home,3–1,"5,722","Moore (2), Hinnigan",RPrjBjw,971,wvQGN
32,17 March 1979,Stockport County,Home,2–0,"7,610","Wright, Smart",UiTeLZRN,107,JuxtKFJD
33,19 March 1979,Rochdale,Away,2–0,"3,621","Purdie, Moore",MXfmzz,843,CBcueIFf
34,24 March 1979,Grimsby Town,Away,1–3,"8,252",Wigginton (o.g.),FQVTVUUp,11,GVMr0R
35,28 March 1979,Hereford United,Home,0–0,"4,876",,NHSbj,965,EnSIfH22
