Name,Built,Listed,Location,County,Type,Extra_Data_1,Noise_Field_2,Irrelevant_3
Mahned Bridge,1903,1997-11-24,New Augusta31°13′28″N 89°5′6″W﻿ / ﻿31.22444°N 89.08500°W,Perry,Pratt Through Truss,320,sAikjjc,WfbVl
Mississippi River Bridge,1928–1930,1989-02-14,Vicksburg32°18′54″N 90°54′20″W﻿ / ﻿32.31500°N 90.90556°W,Warren,Cantilevered truss span,795,ELXFA,HH0dY
Motley Slough Bridge,1920,1988-11-16,Columbus33°26′21″N 88°31′8″W﻿ / ﻿33.43917°N 88.51889°W,Lowndes,Pratt pony truss,911,nYqdjn,gmHcD5
Old Hill Place Bridge,ca. 1920,1979-05-23,Fayette31°40′9″N 91°10′52″W﻿ / ﻿31.66917°N 91.18111°W,Jefferson,Twin-tower swng. susp. brdg.,948,FTGovu,Eztb6j
Owens Creek Bridge,1917,1988-11-16,Utica32°5′29″N 90°43′45″W﻿ / ﻿32.09139°N 90.72917°W,Claiborne,Warren pony truss,885,eVDxU,c7YBPUES
Pearl River Bridge on Mississippi Highway 28,1940,2005-06-10,Georgetown31°52′31″N 90°8′17″W﻿ / ﻿31.87528°N 90.13806°W,Copiah,,704,wJAfCPh,VVeCFT5
Running Water Creek Bridge,1928,1988-11-16,Shuqualak33°1′5″N 88°36′50″W﻿ / ﻿33.01806°N 88.61389°W,Noxubee,Pratt half-hip pony truss,284,rUorEx,T5O2F6b
Shubuta Bridge,1919,1988-11-16,Shubuta31°51′25″N 88°41′12″W﻿ / ﻿31.85694°N 88.68667°W,Clarke,Camelback through truss,478,SayOnkTL,Iq3xTOw
Stuckey's Bridge,1901,1988-11-16,Meridian32°15′20″N 88°51′19″W﻿ / ﻿32.25556°N 88.85528°W,Lauderdale,Stearns through truss,608,tDBnGzt,AZutH4R8
Tibbee Bridge,1896,1988-11-16,West Point33°32′17″N 88°38′0″W﻿ / ﻿33.53806°N 88.63333°W,Clay,Pratt through truss,618,LxpGaKT,7Vrs0uCr
Valley of the Moon Bridge,"ca. 1925, ca. 1930",2005-06-08,Port Gibson32°1′3″N 90°52′37″W﻿ / ﻿32.01750°N 90.87694°W,Claiborne,,583,eUKtPg,EJM0UB
