Name,Built,Listed,Location,County,Type
Enterprise Bridge,"ca. 1925, ca. 1935",1988-11-16,Enterprise32°10′33″N 88°49′11″W﻿ / ﻿32.17583°N 88.81972°W,Clarke,Warren polygonal pony truss
Fairchild's Creek Bridge,1930,2005-06-08,Natchez31°43′31″N 91°18′49″W﻿ / ﻿31.72528°N 91.31361°W,Adams,
Fairground Street Bridge,1895,1988-11-16,Vicksburg32°20′16″N 90°53′25″W﻿ / ﻿32.33778°N 90.89028°W,Warren,Pratt through truss
Gatesville Bridge,1908,1988-11-16,"Gatesville, Pearl31°59′46″N 90°13′26″W﻿ / ﻿31.99611°N 90.22389°W","Copiah, Simpson",Pennsylvania through truss
R.H. Henry Bridge,1929,2005-06-08,Edwards32°20′51″N 90°41′49″W﻿ / ﻿32.34750°N 90.69694°W,Hinds,
Highway 11 Bridge over Chunky River,1926,1988-11-16,Enterprise32°11′32″N 88°49′30″W﻿ / ﻿32.19222°N 88.82500°W,Clarke,Parker through truss
Homochitto River Bridge,1909,1988-11-16,Hazelhurst31°42′48″N 90°40′1″W﻿ / ﻿31.71333°N 90.66694°W,Copiah,Pratt through truss
Keesler Bridge,1925,1988-11-16,Greenwood33°31′18″N 90°11′3″W﻿ / ﻿33.52167°N 90.18417°W,Leflore,Swing through truss
Lamb-Fish Bridge,1905,1982-05-17,Charleston34°1′20″N 90°11′32″W﻿ / ﻿34.02222°N 90.19222°W,Tallahatchie,Vertical Lift Span
Leaf River Bridge,1907,1988-11-16,McClain31°7′39″N 88°49′1″W﻿ / ﻿31.12750°N 88.81694°W,Greene,Pennsylvania through truss
Lucien Bridge,1938,2005-06-16,McCall Creek31°30′40″N 90°39′59″W﻿ / ﻿31.51111°N 90.66639°W,Franklin,
