Name,Built,Listed,Location,County,Type,Extra_Data_1
Abiaca Creek Bridge,1930,2004-03-22,Vaiden33°19′57″N 89°56′57″W﻿ / ﻿33.33250°N 89.94917°W,Carroll,,867
Bahala Creek Bridge,1909,1988-11-16,Oma31°42′17″N 90°12′0″W﻿ / ﻿31.70472°N 90.20000°W,Lawrence,Pratt through truss,558
Bayou Pierre Bridge,ca. 1920,2005-06-10,Carpenter32°0′10″N 90°41′23″W﻿ / ﻿32.00278°N 90.68972°W,Copiah,,377
Bayou Pierre Bridge,"ca. 1900, 1940",2005-06-10,Carpenter32°0′10″N 90°41′23″W﻿ / ﻿32.00278°N 90.68972°W,Copiah,,929
Big Black River Railroad Bridge,1917,1988-11-16,"Bovina, Edwards32°20′49″N 90°42′17″W﻿ / ﻿32.34694°N 90.70472°W","Hinds, Warren",Open-spandrel arch,581
Byram Bridge,ca. 1905,1979-05-23,"Bryam, Frenchs Store32°10′35″N 90°14′37″W﻿ / ﻿32.17639°N 90.24361°W","Hinds, Rankin",Twin-tower swinging sus. br.,331
Chunky River Bridge,1911,2004-03-22,Chunky32°19′16″N 88°55′54″W﻿ / ﻿32.32111°N 88.93167°W,Newton,,380
Columbus Bridge,1925–1927,1988-11-16,Columbus33°29′37″N 88°26′3″W﻿ / ﻿33.49361°N 88.43417°W,Lowndes,Warren truss;Swing truss,860
Confederate Avenue Brick Arch Bridge,1935,1988-11-16,Vicksburg32°19′44″N 90°52′31″W﻿ / ﻿32.32889°N 90.87528°W,Warren,Brick arch,905
Coon Box Fork Bridge,1919,1979-05-23,Coon Box31°47′25″N 91°5′37″W﻿ / ﻿31.79028°N 91.09361°W,Jefferson,Twin-tower Swng. Susp. Brdg.,712
Eddiceton Bridge,1909,1988-11-16,Eddiceton31°29′33″N 90°47′21″W﻿ / ﻿31.49250°N 90.78917°W,Franklin,Pratt truss;Camelback truss,746
