No,Date,Race,Track,Winner,Reports
1,02-09-2008,Daytona ARCA 200,Daytona,Michael Annett,Report
2,04-13-2008,Kentuckiana Ford Dealers 200,Salem Speedway,Justin Allgaier,Report
3,04-19-2008,Prairie Meadows 250,Iowa Speedway,Matt Hawkins,Report
4,04-25-2008,Kansas Lottery $150 Grand,Kansas Speedway,Scott Speed,Report
5,05-04-2008,Carolina 500,Rockingham,Joey Logano,Report
6,05-10-2008,Drive Smart! 150,Kentucky,"Ricky Stenhouse, Jr.",Report
7,05-18-2008,Hantz Group 200,Toledo,Matt Carter,Report
8,06-07-2008,Pocono 200,Pocono,"Ricky Stenhouse, Jr.",Report
9,06-14-2008,Racing For Wildlife 200,Michigan,Justin Lofton,Report
10,06-29-2008,Cayuga ARCA RE/MAX 250,Cayuga,Justin Allgaier,Report
11,07-18-2008,Kentucky 150,Kentucky,Scott Speed,Report
