No,Date,Race,Track,Winner,Reports,Irrelevant_1,Noise_Field_2,Irrelevant_3
12,07-26-2008,Berlin ARCA 200,Berlin,Scott Speed,Report,lWR240,eTjuBABZ,yDLa3G
13,08-02-2008,Pennsylvania 200,Pocono,Justin Allgaier,Report,irpILi,WmXQAvFk,fXSUFi
14,08-09-2008,Toyota ARCA 150,Nashville SS,Scott Speed,Report,xtHpytam,OyYNsUbu,93HFH04
15,08-17-2008,Allen Crowe 100,Springfield,Frank Kimmel,Report,bV6xxPR,fPBxmGaZ,aaH9QO0
16,09-01-2008,Southern Illinois 100,DuQuoin,Frank Kimmel,Report,0wzwPmP,GdsjvrN,O4GlB
17,09-06-2008,Chicagoland ARCA 200,Chicagoland,Scott Lagasse Jr.,Report,DO6FW8,JvHtAO,640QS
18,09-13-2008,Eddie Gilstrap Motors 200,Salem,Frank Kimmel,Report,l4zpT,KagZezF,CgVLrSj
19,09-28-2008,Loud Energy Drink 150,NJMP,Justin Allgaier,Report,IUdQa,EzYbM,4BUvuhu
20,10-03-2008,Food World 250,Talladega,Justin Allgaier,Report,IugqNNL,nNORUFq,tg3ByORw
21,10-12-2008,Toledo ARCA 200,Toledo,Justin Allgaier,Report,0cGlMzF,rHkBlxvT,ZmUjw9S
