#,Date,Opponent,Score,Win,Loss,Save,Crowd,Record,Dummy_Col_1,Random_Column_2
11,Apr 20,CHW,W 3-2,Lopez,Reed,,"33,554",10-1,fMNPYkbW,kBQl3
12,Apr 21,CHW,W 4-1,Rozema,Hoyt,Bair,"34,395",11-1,JFuMCG,LpSBh
13,Apr 22,CHW,W 9-1,Berenguer,Brennan,,"10,603",12-1,koLlJ,ysL1H
14,Apr 24,MIN,W 6-5,Morris,Davis,,N/A,13-1,dGxUK,16K5Du
15,Apr 24,MIN,W 4-3,Abbott,Viola,Lopez,"20,315",14-1,LfLRd,FAkgA3
16,Apr 25,@TEX,W 9-4,Wilcox,Stewart,Hernandez,"25,883",15-1,bCKowUb,kcAK7
17,Apr 26,@TEX,W 7-5,Bair,Tanana,Lopez,"13,559",16-1,uuxYgLm,5i6dqWV7
18,Apr 27,CLE,L 4-8 (19),Aponte,Abbott,,"34,112",16-2,NvArwbWs,coXJ01
19,Apr 28,CLE,W 6-2,Morris,Behenna,,"28,253",17-2,jxNCDiiQ,e2ijDfKh
20,Apr 29,CLE,W 6-1,Petry,Spillner,,"24,853",18-2,UzcElf,mtKOz6j
