Team name,Leagues,Base,Year started,Year ended,Notable riders,Filler_1
Hackney Wick Wolves,"Speedway National League,",Hackney Wick Stadium,1935,1939,Listed in article,LFXZu
Hackney Hawks,"British League,",Hackney Wick Stadium,1963,1983,Listed in article,VPkEsHp
Hackney Kestrels,Speedway National League,Hackney Wick Stadium,1984,1990,Listed in article,WXuVvL
Halifax Dukes,"Speedway National League, Speedway Provincial League","The Shay, Halifax",1949,1985,Eric Boocock,IqXeXjSE
Harringay Racers,"Speedway National League, division 1",Harringay Stadium,1947,1954,Listed in article,JHzDYWZc
Hastings Saxons,Speedway National League Division Three,"Pilot Field, Hastings",1948,1949,,beSxhPV
Hull Vikings,"Elite League, Premier League",Craven Park,1995,2005,Listed in article,gKKQwJu
Leicester Stadium,"Speedway Northern League, Speedway Southern League","The Stadium, Blackbird Road, Leicester",1929,1931,"Cyril \Squib\"" Burton",lqZPGHnM
Leicester Super,Speedway Northern League,"Leicester Super Speedway, Melton Road, Leicester",1930,1931,Fred Wilkinson,LHDjdov
Leicester Hounds,Speedway National League Division Two,"The Stadium, Blackbird Road, Leicester",1937,1937,"Wilf Plant, Lloyd Goffe",Agbqr
Leicester Hunters,"Speedway National League Division Three, Speedway Provincial League","The Stadium, Blackbird Road, Leicester",1949,1962,Ken McKinlay,DEOBdy
Liverpool Chads,"Speedway National League Division Three, Speedway National League Division Two, Speedway Provincial League","Stanley Stadium, Liverpool",late 1920s,1960,Peter Craven,eJRtWMKs
