Team name,Leagues,Base,Year started,Year ended,Notable riders
Leicester Stadium,"Speedway Northern League, Speedway Southern League","The Stadium, Blackbird Road, Leicester",1929,1931,"Cyril \Squib\"" Burton"
Leicester Super,Speedway Northern League,"Leicester Super Speedway, Melton Road, Leicester",1930,1931,Fred Wilkinson
Leicester Hounds,Speedway National League Division Two,"The Stadium, Blackbird Road, Leicester",1937,1937,"Wilf Plant, Lloyd Goffe"
Leicester Hunters,"Speedway National League Division Three, Speedway Provincial League","The Stadium, Blackbird Road, Leicester",1949,1962,Ken McKinlay
Liverpool Chads,"Speedway National League Division Three, Speedway National League Division Two, Speedway Provincial League","Stanley Stadium, Liverpool",late 1920s,1960,Peter Craven
London Lions,Speedway British League,Hackney Wick Stadium,1986,1986,See Listed in article
Middlesbrough Bears,"Northern League, Speedway National League",Cleveland Park,1939,1996,Listed in article
Milton Keynes Knights,,"Groveway Greyhound Stadium, Milton Keynes",1978,1992,
Motherwell Eagles,,"The Stadium, Milton Street, Motherwell",1951,1954,Listed in article
New Cross Rangers,"Speedway National League, Speedway Provincial League",New Cross Stadium,1937,1963,Tom Farndon
