Team name,Leagues,Base,Year started,Year ended,Notable riders,Noise_Field_1,Filler_2,Dummy_Col_3
Aldershot Shots,National League Division Three,Tongham Greyhound Stadium,1950,1960,,FsWOcb,jwAdt,kSyLNRb
Ashfield Giants,,"Saracen Park, Glasgow",1949,1952,Ken Le Breton,yHptIz,jBYizLNV,lfRlSVG
Barrow Bombers,British League Division Two,Holker Street,1972,1974,,KbGsvAB,cTZZmA,BriWSQ
Bradford Dukes,Elite League,Odsal Stadium,1945,1997,Listed in article,ZOnZaZH,QxTKXy,vxpcAZ
Bristol Bulldogs,"National League, Provincial League","Knowle Stadium, Bristol",pre-1939,1954,Phil Crump,VeVMMfs,wCoDiNTt,ijVPGkMt
Canterbury Crusaders,"National League, British League Division Two","Kingsmead Stadium, Canterbury",1968,1987,Listed in article,TrqRus,SyWao,htlZHOIZ
Carmarthen Dragons,,"Carmarthen Showground, Carmarthen",2002,2004,"Trevor Harding, Ben Wilson, Ben Powell",dgAFj,axCvz,YByXU
Cradley Heath Heathens,British League,Dudley Wood Stadium,1947,1996,Listed in article,nSAsSJJ,JYSAJv,jPSPuGD
Crayford Kestrels,British League Division Two/National League,"Crayford Stadium, Crayford",1968,1983,,qYvUlLJI,eYABq,WOHhhi
Crewe Kings,British League Division Two,"BR Sports Ground, Crewe",1969,1975,Listed in article,uzbUd,tJaCmirN,XUOZC
Ellesmere Port Gunners,British League Division Two/National League,"The Stadium, Ellesmere Port",1972,"1982, 1985 (one season)",,vuCYWWDW,kOAeK,bgPebj
Exeter Falcons,"Elite League, Premier League","County Ground Stadium, Exeter",1929,2005,Listed in article,JCiTv,nRrfIpk,gFOrNIEg
Fleetwood Flyers,Speedway National League Division Two,"Highbury Avenue Sports Stadium, Fleetwood",1948,1952,,qKjaCfQ,aPebYVfT,GxRCLtGU
