Team name,Leagues,Base,Year started,Year ended,Notable riders,Noise_Field_1,Dummy_Col_2
Romford Bombers,,"Brooklands Stadium, Romford",1969,1971,,bTmGr,DwIsF
Southampton Saints,Speedway National League,"Banister Court Stadium, Southampton",1928,1963,,jOylGubN,lfkhXsP
Stamford Bridge Pensioners,"Southern League, Speedway National League","Stamford Bridge Stadium, London",1929,1932,"Gus Kuhn, Wal Phillips",mntlkm,SPePNXD
Sunderland Stars,Speedway National League,"Sunderland Greyhound Stadium, East Boldon",1971,1974,,xWQKs,UFuSbah
Trelawny Pitbulls,Conference League,"Clay Country Moto Parc, St Austell",2003,2003,,lbFWS,azZfViWH
Trelawny Tigers,Premier League,"Clay Country Moto Parc, St Austell",2001,2003,Chris Harris (speedway rider),FymwWSY,ZzDDmQI
Walthamstow Wolves,Speedway National League,Walthamstow Stadium,1934,1951,Listed in article,dClZXGZv,ioHDidN
Wembley Lions,"Southern League, Speedway National League",Empire Stadium,1929,1971,Listed in article,sSKpcEUk,khHvnS
West Ham Hammers,"Speedway British League, Speedway National League",West Ham Stadium,1930,1971,Listed in article,yeQgIU,mISJNjg
White City Rebels,Speedway British League,White City Stadium,1976,1978,"Gordon Kennett, Steve Weatherley, Trevor Geer, Marek Cieślak and Kai Niemi",CrcKIuhg,wiYDBUg
Wimbledon Dons,Speedway National League,Wimbledon Stadium,1929,2005,Listed in article,JwtpLvl,twSPK
Yarmouth Bloaters,"Speedway National League, Speedway Provincial League","Yarmouth Stadium, Caister-on-Sea",1948,1962,,qpUeDJ,MbgHH
