#,Temple name,Hangul,Hanja,Period of reign,Personal name,Relationship,Note,Noise_Field_1
12,Gye,계왕,契王,344–346,,first son of Bunseo,,dbqhPwm
13,Geunchogo,근초고왕,近肖古王,346–375,Yeogu,second son of Biryu,"also Chogo (초고왕, 肖古王) or Sokgo (속고왕, 速古王)",sVErxei
14,Geun-gusu,근구수왕,近仇首王,375–384,,son of Geunchogo,"also Guisu (귀수왕, 貴首王)",DDOhlui
15,Chimnyu,침류왕,枕流王,384–385,,first son of Geungusu,,vijHJy
16,Jinsa,진사왕,辰斯王,385–392,,younger brother of Chimnyu,"also Buyeohui (부여휘, 扶餘暉)",USSHBBE
17,Asin,아신왕,阿莘王,392–405,,nephew of Jinsa; first son of Chimnyu,"also Aha (아화왕, 阿華王)",Tmrslbr
18,Jeonji,전지왕,腆支王,405–420,,first son of Asin,"also Jikji (직지왕, 直支王) or Jinji (진지왕, 眞支王)",QaeOtiSj
19,Gu-isin,구이신왕,久爾辛王,420–427,,first son of Jeonji,,TcXyQi
20,Biyu,비유왕,毗有王,427–455,,first son of Guisin,"also Yeobi (여비, 餘毗)",AsWyIeNc
21,Gaero,개로왕,蓋鹵王,455–475,"Gyeongsa (경사, 慶司) or Gyeong (경, 慶)",first son of Biyu,"also Yeogyeong (여경, 餘慶)",imlfu
