#,Temple name,Hangul,Hanja,Period of reign,Personal name,Relationship,Note,Noise_Field_1,Random_Column_2,Unused_3
1,Onjo,온조왕,溫祚王,18 BCE – 28 CE,,founder,son of Dongmyeongseong of Goguryeo,HzYWTO,40n4a0I,
2,Daru,다루왕,多婁王,28–77,,first son of Onjo,,CDUopbV,SwD9e,
3,Giru,기루왕,己婁王,77–128,,first son of Daru,,ySALnc,f16HXawG,
4,Gaeru,개루왕,蓋婁王,128–166,,son of Giru,,nzVCfN,VoUK9B,
5,Chogo,초고왕,肖古王,166–214,,son of Gaeru,"also Sogo (소고왕, 素古王)",KvOwvXP,352Xj,
6,Gusu,구수왕,仇首王,214–234,,first son of Chogo,"also Guisu (귀수왕, 貴須王)",GTTiD,5VkB6dv,
7,Saban,사반왕,沙泮王,234,,first son of Gusu,"also Sai (사이왕, 沙伊王)",dcOxZBGe,ydFd9a,
8,Goi,고이왕,古爾王,234–286,,second son of Gaeru,"also Gui (구이군, 久爾君)",oCZbiRR,uT8PSp,
9,Chaekgye,책계왕,責稽王,286–298,,son of Goi,"also Cheonggye (청계왕, 靑稽王)",fxmJzQ,9GegI3M,
10,Bunseo,분서왕,汾西王,298–304,,first son of Chaekgye,,FnDGq,xzDrUbo9,
11,Biryu,비류왕,比流王,304–344,,second son of Gusu,,WqkfRHmF,gbdWJ,
