Name,Mineral,Opened,Closed,Years connected,Notes,Filler_1
Blaen y Cwm,Slate,1820,1911,1876–1911,Connected to the FfR via the Rhiwbach Tramway,iWfrRsm
Bowydd,Slate,1800,1870,1854–1870,Merged with Votty to form Votty & Bowydd quarry,xmfpAyq
Brooke's,Granite,1919,?,?,Connected by a tramway branching off at the north portal of Moelwyn Tunnel,itGkDhE
Bwlch-y-Slater,Slate,1824,1960,1866–1956,Connected via the Rhiwbach Tramway,PkbFzj
Cesail,Slate,1827,1877,1836–1877,Became part of the Oakeley Quarry,qeTJNhSY
Conglog,Slate,1872,1920?,1874–1920,Remote quarry connected by the Cwmorthin Tramway,oTQpze
Cwmorthin,Slate,1810,1937,1850–1937,"Connected via the Cwmorthin Tramway; became part of the Oakeley quarry in 1900, the two quarries were connected underground",MhwBHplK
Cwt-y-Bugail,Slate,1835,1972,1867–1961,Last quarry using the (by then partly lifted) Rhiwbach Tramway,OUgQwz
Diphwys Casson,Slate,1760,1972,1860–1955,Last of the major quarries to be connected to the Ffestiniog Railway,kvFGy
Graig Ddu,Slate,1840,1946,,Connected via the Festiniog and Blaenau Railway,cRIbWw
Groby Granite,Granite,1901,Circa 1932,1914-c.1932,"Connected by a short, steeply graded branch worked by FfR locomotives.",QqHWeT
Hafodty (Votty),Slate,1801,1870,1851–1870,Joined with Bowydd quarry to form Votty & Bowydd,xzieLc
