Name,Mineral,Opened,Closed,Years connected,Notes
Llechwedd,Slate,1846,Present,1848-1980s,Currently worked on a small scale and the site of the Llechwedd Slate Caverns tourist attraction
Maenofferen,Slate,1848,1999,1848–1975,"Became the major owner of quarries connected via inclines at Duffws station, continued to use the stub of the FfR through Blaenau into the mid 1970s. Untopping operations continue in 2007."
Nyth-y-Gigfran,Slate,1840s,1882,1867–1882,Sometimes known as Glan-y-Pwll quarry. Became part of the Oakeley Quarry
Matthews (Rhiwbryfdir),Slate,1825,1871,1842–1871,Became part of the Oakeley quarry
Manod,Slate,c1850,Present,1866-1930s,Sometimes known as Bwlch y Slaters and now given the name Cwt y Bugail. Connected to the Festiniog by the Rhiwbach Tramway
Moelwyn Slate,Slate,1826,c 1900,1867–c 1900,Remote quarry connected to the FfR by a series of seven inclines; worked intermittently and never successfully.
Moelwyn Zinc,"Zinc, Manganese and Silver",c1892,by 1919,1892-by 1919,Zinc mine just west of the north portal of the old Moelwyn Tunnel.
Oakeley,Slate,1878,2010,1878-1950s,"Formed by the amalgamation of the Cesail, Matthews and Glan-y-Pwll quarries. Was the largest single quarry in Blaenau Ffestiniog. Was the home of the Gloddfa Ganol tourist attraction in the 1980s and 1990s. Now worked as an open pit by Alfred McAlpine Ltd."
Rhiwbach,Slate,1812,1953,1860–1953,Remote quarry situated 4 miles (6.4 km) east of Duffws station and connected via the Rhiwbach Tramway
Syenite Setts,Granite,1874,1916,?,Quarry later worked as Brooke's
Votty & Bowydd,Slate,1870,1964,1870–1962,Formed by the amalgamation of the Hafodty and Bowydd quarries.
Wrysgan,Slate,1830s,1946,1844–1946,Connected to the railway near Tanygrisiau via a single long incline ending in a tunnel.
