Courthouse,City,Street address,Jurisdiction,Dates of use,Named for
U.S. Post Office and Court House†,Aberdeen,201 W. Commerce St.,N.D. Miss.,1888–1974Now the Monroe County Chancery Court.,n/a
Thomas G. Abernethy Federal Building,Aberdeen,301 West Commerce Street,N.D. Miss.,?-present,U.S. Rep. Thomas Abernethy
"U.S. Post Office, Court House, & Custom House",Biloxi,140 Lameuse Street,S.D. Miss.,1908-1959Now Biloxi City Hall.,n/a
U.S. Post Office & Court House,Biloxi,?,S.D. Miss.,1908-1959Fate of building unknown.,n/a
U.S. Post Office,Clarksdale,?,N.D. Miss.,1916-1964Razed in 1968.,n/a
Federal Building,Clarksdale,?,N.D. Miss.,1964-1997Fate of building unknown.,n/a
Federal Building,Greenville,305 Main Street,N.D. Miss.,1960-present,n/a
Dan M. Russell Jr. Federal Bldg & U.S. Courthouse,Gulfport,2012 15th Street,S.D. Miss.,2003-present,"District Court judge Dan Monroe Russell, Jr."
U.S. Court House,Hattiesburg,?,S.D. Miss.,1936-?Completed in 1911; now the Forrest County Courthouse Building.,n/a
William M. Colmer Federal Bldg & U.S. Courthouse,Hattiesburg,701 Main Street,S.D. Miss.,?-present,U.S. Rep. William M. Colmer
