Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference,Random_Column_1
12,Recreativo de Huelva,42,58,14,16,12,40,35,+5,hK9SH
13,CA Osasuna,42,57,15,12,15,44,51,-7,5C1bvR7
14,CD Badajoz,42,51,12,15,15,35,39,-4,5VLUU
15,Albacete,42,50,12,14,16,38,43,-5,lJ0M42
16,CD Logroñés,42,48,12,12,18,48,57,-9,7ijutM
17,CD Leganés,42,47,10,17,15,36,44,-8,laApf1n9
18,SD Eibar,42,47,13,8,21,42,56,-14,CW3Yxf4S
19,Mallorca B,42,46,12,10,20,52,64,-12,TI3Z67B
20,Barcelona B,42,44,13,5,24,51,68,-17,0PKPpjLO
21,Hércules CF,42,40,10,10,22,38,66,-28,qErKJF
22,CD Ourense,42,27,7,6,29,35,82,-47,xAyFw
