Year,Category,Nominee(s),Episode,Result
1983,Outstanding Individual Achievement in Graphic Design and Title Sequences,"James Castle, Bruce Bryant","\Show Down: Part 1\""""",Won
1983,Outstanding Achievement in Music and Lyrics,"Gary Portnoy, Judy Hart-Angelofor Where Everybody Knows Your Name","\Give Me a Ring Sometime\""""",Nominated
1983,Outstanding Art Direction for a Series,"George Gaines, Richard Sylbert","\Give Me a Ring Sometime\""""",Nominated
1983,Outstanding Film Editing for a Series,Andrew Chulack,"\Endless Slumper\""""",Nominated
1984,Outstanding Film Editing for a Series,Andrew Chulack,"\Old Flames\""""",Won
1984,Outstanding Live and Tape Sound Mixing and Sound Effects for a Series,"Sam Black, Douglas Gray, Thomas Huth, Gordon Klimuck","\No Help Wanted\""""",Nominated
1985,Outstanding Live and Tape Sound Mixing and Sound Effects for a Series,"Michael Ballin, Sam Black, Douglas Gray, Thomas Huth","\The Executive's Executioner\""""",Won
1986,Outstanding Sound Mixing for a Comedy Series or a Special,"Michael Ballin, Robert Douglas, Douglas Grey, Thomas J. Huth","\Fear is My Co-Pilot\""""",Won
1986,Outstanding Editing for a Series (Multi-Camera Production),Andy Ackerman,\Birth, Death
1986,Outstanding Editing for a Series (Multi-Camera Production),Douglas Hines,"\The Triangle\""""",Nominated
1987,Outstanding Sound Mixing for a Comedy Series or a Special,"Michael Ballin, Bob Douglas, Doug Grey, Tom Huth","\The Proposal\""""",Won
1987,Outstanding Editing for a Series (Multi-Camera Production),Andy Ackerman,"\Cheers: The Motion Picture\""""",Nominated
