Year,Category,Nominee(s),Episode,Result,Extra_Data_1,Extra_Data_2,Filler_3
1988,Outstanding Editing for a Series (Multi-Camera Production),Andy Ackerman,"\The Big Kiss-Off\""""",Won,342,373,ybhSru
1988,Outstanding Sound Mixing for a Comedy Series or a Special,"Bob Douglas, Doug Grey, Thomas J. Huth, Pete San Filipo","\The Last Angry Mailman\""""",Nominated,653,94,uqTrDU
1989,Outstanding Sound Mixing for a Comedy Series or a Special,"Sam Black, Robert Crosby, Jr., Robert Douglass, Thomas J. Huth","\Jumping Jerks\""""",Nominated,203,575,mauZhnRa
1990,Outstanding Sound Mixing for a Comedy Series or a Special,"Sam Black, Robert Crosby, Jr., Robert Douglass, Thomas J. Huth","\The Stork Brings a Crane\""""",Won,726,595,tjOtbm
1991,Outstanding Informational Special,,"\Cheers 200th Anniversary Special\""""",Nominated,364,97,EMKYPgO
1991,Outstanding Editing for a Miniseries or a Special (Multi-Camera Production),Andy Ackerman,"\Cheers 200th Anniversary Special\""""",Nominated,892,102,PGpPN
1991,Outstanding Editing for a Series (Multi-Camera Production),Andy Ackerman,"\The Days Of Wine And Neuroses\""""",Nominated,229,591,pIDiR
1991,Outstanding Editing for a Series (Multi-Camera Production),Sheila Amos,"\Rat Girl\""""",Nominated,452,974,mqwli
1991,Outstanding Sound Mixing for a Comedy Series or a Special,"Sam Black, Robert Crosby, Jr., Robert Douglass, Thomas J. Huth","\The Days Of Wine And Neuroses\""""",Nominated,876,854,rwlxPzb
1992,Outstanding Individual Achievement in Editing for a Series (Multi-Camera Production),"Robert Bramwell, Peter J. Chakos","\An Old Fashioned Wedding\""""",Nominated,529,976,UtsntiJ
1992,Outstanding Individual Achievement in Sound Mixing for a Comedy Series or a Special,"Sam Black, Robert Crosby, Jr., Robert Douglass, Thomas J. Huth","\Bar Wars IV: This Time it's for Real\""""",Nominated,143,349,eEPyt
1993,Outstanding Individual Achievement in Editing for a Series (Multi-Camera Production),Robert Bramwell,"\One for the Road\""""",Won,58,500,MRBsQTj
