Date,Race Name,Location,UCI Rating,Winner,Team
11–16 June,Tour de Beauce,Canada,2.2,Nathan Brown (USA),Bontrager Cycling Team
7 July,Tour de Delta,Canada,1.2,Steve Fisher (USA),Hagens Berman Cycling
19–28 July,Vuelta a Venezuela,Venezuela,2.2,Carlos José Ochoa (VEN),Androni Giocattoli-Venezuela
2–4 August,Tour of Elk Grove,United States,2.1,Elia Viviani (ITA),Cannondale
6–11 August,Tour of Utah,United States,2.1,Tom Danielson (USA),Garmin-Sharp
6–11 August,Ruta del Centro,Mexico,2.2,Víctor García (ESP),Depredadores PBG Design
14–18 August,Vuelta al Sur de Bolivia,Bolivia,2.2,Óscar Soliz (BOL),Pio Rico
19–25 August,USA Pro Cycling Challenge,United States,2.HC,Tejay Van Garderen (USA),BMC Racing Team
28 Aug–1 Sep,Tour do Rio,Brazil,2.2,Óscar Sevilla (ESP),EPM-UNE
3–8 September,Tour of Alberta,Canada,2.1,Rohan Dennis (AUS),Garmin-Sharp
7 September,Bucks County Classic,United States,1.2,Kiel Reijnen (USA),UnitedHealthcare
