Date,Race Name,Location,UCI Rating,Winner,Team,Dummy_Col_1,Dummy_Col_2,Random_Column_3
6 January,Copa América de Ciclismo,Brazil,1.2,Francisco Chamorro (ARG),Funvic Brasilinvest-São José dos Campos,LYZdQuMH,mFrPJ,I6BWs
11–20 January,Vuelta al Táchira,Venezuela,2.2,Yeison Delgado (VEN),Kino Táchira-Drodínica,RlUCMKK,NdTCWVl,y26eQcM
21–27 January,Tour de San Luis,Argentina,2.1,Daniel Díaz (ARG),San Luis Somos Todos,nDAbPhw,xTDmfm,CGxxF
21–28 April,Vuelta a Guatemala,Guatemala,2.2,Óscar Sánchez (COL),GW Shimano,otNBKjI,EcyRnj,wq2lQ
1–5 May,Tour of the Gila,United States,2.2,Philip Deignan (IRL),UnitedHealthcare,hVeVB,unMDg,QGNdWcza
2 May,Pan American Cycling Championships – Time Trial,Mexico,CC,Carlos Oyarzun (CHI),Chile national team,jNokiDWi,JwIvwdev,BE9NVAO0
5 May,Pan American Cycling Championships – Road Race,Mexico,CC,Jonathan Paredes (COL),Colombia national team,Lbzrgk,LqjTx,84JvXd
12–19 May,Tour of California,United States,2.HC,Tejay Van Garderen (USA),BMC Racing Team,pGoaoID,ncxmWb,lBNXx
2 June,The Philly Cycling Classic,United States,1.2,Kiel Reijnen (USA),UnitedHealthcare,mjspZSoX,ukIPfdfe,92mBoe
7–9 June,Coupe des Nations Ville Saguenay,Canada,2.Ncup,Sondre Enger (NOR),Norway national team,UmOCB,QSlKq,JWeS2e
9–23 June,Vuelta a Colombia,Colombia,2.2,Óscar Sevilla (ESP),EPM-UNE,CaPZh,YOslwPg,OPtQ0
