Outcome,No.,Date,Championship,Surface,Opponent,Score
Winner,6.,1977,"Stockholm, Sweden",Hard (i),Raymond Moore,"6–2, 6–4"
Winner,7.,1978,"St. Louis WCT, U.S.",Carpet,Eddie Dibbs,"7–6, 6–4"
Runner-up,6.,1980,"Surbiton, England",Grass,Brian Gottfried,"3–6, 3–6"
Runner-up,7.,1981,"Los Angeles, U.S.",Hard,John McEnroe,"7–6, 3–6, 3–6"
Runner-up,8.,1981,"Cologne, Germany",Hard (i),Ivan Lendl,"3–6, 3–6"
Runner-up,9.,1981,"Stockholm, Sweden",Hard (i),Gene Mayer,"4–6, 2–6"
Winner,8.,1981,"Bologna, Italy",Carpet,Ilie Năstase,"7–5, 6–3"
Runner-up,10.,1982,"Stuttgart Outdoor, Germany",Clay,Ramesh Krishnan,"7–5, 3–6, 3–6, 6–7"
Winner,9.,1982,"Cleveland, U.S.",Hard,Robert Van't Hof,"7–5, 6–3"
Winner,10.,1983,"Gstaad, Switzerland",Clay,Tomáš Šmíd,"6–0, 6–3, 6–2"
