#,Title,Time,Performer(s),Songwriters,Producer(s),Samples and notes
1,"\Everything Man\""""",3:16,"Talib Kweli, Res(additional vocals by Sonia Sanchez)",Talib Kweli Greene,Madlib,"\Everything Man\"" by Daybreak"""
2,"\NY Weather Report\""""",4:35,Talib Kweli(scratches by DJ Jazzy Jeff and Cut Chemist),Talib Kweli Greene,Nick Speed,"\Storm\"" by Cut Chemist"""
3,"\Hostile Gospel (Part 1) (Deliver Us)\""""",5:22,Talib Kweli,"Talib Kweli Greene,Justin Smith,Paul Greedus,Didier Marouani",Just Blaze,"\Deliverance\"" by Space"""
4,"\Say Something\""""",3:43,"Talib Kweli, Jean Grae",Talib Kweli Greene,will.i.am,"\Theme for LA's Team\"" by Thomas Bell and James Casey"""
5,"\Country Cousins\""""",4:31,"Talib Kweli, UGK, Raheem DeVaughn",Talib Kweli Greene,Sha-la Shakier,"\Lost on 23rd Street\"" by Johnny Hammond"""
6,"\Holy Moly\""""",2:08,Talib Kweli,Talib Kweli Greene,Pete Rock,"\Border Song (Holy Moses)\"" by Aretha Franklin"""
7,"\Eat to Live\""""",3:07,Talib Kweli,Talib Kweli Greene,Madlib,"\Ghetto Lament\"" by Sylvia Saint James"""
8,"\In the Mood\""""",3:55,"Talib Kweli, Roy Ayers, Kanye West","Talib Kweli Greene,Kanye West,Brian Potter",Kanye West,"\Lonesome Mood\"" by The Friends of Distinction"""
9,"\Soon the New Day\""""",4:02,"Talib Kweli, Norah Jones","Talib Kweli Greene,Otis Jackson Jr.,Paul Charles,John Mason",Madlib(co-produced by Eric Krasno),"\Sheba's Song\"" by Paul Charles and John Mason"""
10,"\Give 'Em Hell\""""",4:27,"Talib Kweli, Coi Mattison, Lyfe Jennings","Talib Kweli Greene,Terrace Martin,Kevin Gilliam,Coi Mattison,Chester Jennings,Al Green","Terrace Martin, Battlecat","\I'm Glad You're Mine\"" by Al Green"""
11,"\More or Less\""""",4:40,"Talib Kweli, Dion","Talib Kweli Greene,Tony Cottrell,D. Jenkins",Hi-Tek,
