#,Title,Time,Performer(s),Songwriters,Producer(s),Samples and notes,Irrelevant_1
12,"\Stay Around\""""",4:15,Talib Kweli,"Talib Kweli Greene,Peter Phillips,Robert Bell,Ronald Bell,George Brown,Cynthia Huggins,Claydes Charles Smith,Dennis Thomas",Pete Rock,"\Stay Awhile\"" by Kool & the Gang""",O313NyV4
13,"\Hot Thing\""""",3:48,"Talib Kweli, will.i.am","Talib Kweli Greene,William Adams,Johnny Watson",will.i.am,"\We're No Exception\"" by Johnny \""Guitar\"" Watson",pdYuzSel
"\""More", More," More\"" by Andrea True""",,,,,fqeqkI
14,"\Space Fruit\"" (Interlude)""",1:31,Sa-Ra,"Om'Mas Keith,Shafiq Husayn",Sa-Ra,,Bj22GdL
15,"\The Perfect Beat\""""",3:49,"Talib Kweli, KRS-One","Talib Kweli Greene,S. Thornton,Leo Parker,Bob Marley",Swiff D,"\Do It Twice\"" by Bob Marley""",g4Srt
16,"\Oh My Stars\""""",3:40,"Talib Kweli, Musiq Soulchild","Talib Kweli Greene,Talib Johnson,Khalil Abdul-Rahman,Amani Fela Greene",DJ Khalil,,FHmeL6U
17,"\Listen!!!\""""",3:28,Talib Kweli,"Talib Kweli Greene,Kwamé Holland,Fred Williams",Kwamé,"\Tell Her\"" by Fred Williams and the Jewels Band""",EKEJIZtP
18,"\Go With Us\""""",3:59,"Talib Kweli, Strong Arm Steady","Talib Kweli Greene,E. Jones,Jason Smith,Marvin Jones,Charles Mitchell",E. Jones,,3P2SO
19,"\Hostile Gospel (Part 2) (Deliver Me)\""""",4:21,"Talib Kweli, Sizzla","Talib Kweli Greene,Miguel Collins,Khalil Abdul-Rahman,David Hinds",DJ Khalil,"\Tight Rope\"" by Steel Pulse""",vbmcA9kK
20,"\The Nature\""""",5:01,"Talib Kweli, Justin Timberlake","Talib Kweli Greene,Justin Timberlake","Eric Krasno, Adam Deitch",,qwR8dti
21,"\Hush\""""",3:55,"Talib Kweli, Jean Grae","Talib Kweli Greene,C. Burnette,M. Clervoix",Chad beatz,LP Edition #19 & iTunes Single,qPnvqO
