Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004
68,Istor-o-Nal,"7,403","24,288",Hindu Kush,36°22′32″N 71°53′54″E﻿ / ﻿36.37556°N 71.89833°E,"1,040",Noshaq,1969,4 (5)
69,Ghent Kangri,"7,401","24,281",Saltoro Karakoram,35°31′04″N 76°48′02″E﻿ / ﻿35.51778°N 76.80056°E,"1,493",Saltoro Kangri,1961,4 (0)
70,Ultar Sar,"7,388","24,239",Batura Karakoram,36°23′27″N 74°43′00″E﻿ / ﻿36.39083°N 74.71667°E,700,Shispare,1996,2 (5)
71,Rimo I,"7,385","24,229",Rimo Karakoram,35°21′18″N 77°22′08″E﻿ / ﻿35.35500°N 77.36889°E,"1,438",Teram Kangri I,1988,1 (3)
72,Churen Himal,"7,385","24,229",Dhaulagiri Himalaya,28°44′05″N 83°13′03″E﻿ / ﻿28.73472°N 83.21750°E,600,Dhaulagiri IV,1970,3 (0)
73,Teram Kangri III,"7,382","24,219",Siachen Karakoram,35°35′59″N 77°02′53″E﻿ / ﻿35.59972°N 77.04806°E,520,Teram Kangri I,1979,1 (0)
74,Sherpi Kangri,"7,380","24,213",Saltoro Karakoram,35°27′58″N 76°46′53″E﻿ / ﻿35.46611°N 76.78139°E *,"1,000",Ghent Kangri,1976,1 (1)
75,Labuche Kang,"7,367","24,170",Labuche Himalaya,28°18′15″N 86°21′03″E﻿ / ﻿28.30417°N 86.35083°E,"1,957",Cho Oyu,1987,1 (0)
76,Kirat Chuli,"7,362","24,153",Kangchenjunga Himalaya,27°47′16″N 88°11′43″E﻿ / ﻿27.78778°N 88.19528°E,"1,168",Kangchenjunga,1939,1 (6)
,Abi Gamin,"7,355","24,131",Garhwal Himalaya,30°55′57″N 79°36′09″E﻿ / ﻿30.93250°N 79.60250°E,217,Kamet,1950,17 (2)
77,Nangpai Gosum,"7,350","24,114",Mahalangur Himalaya,28°04′24″N 86°36′51″E﻿ / ﻿28.07333°N 86.61417°E,500,Cho Oyu,1996,3 (1)
,Gimmigela/The Twins,"7,350","24,114",Kangchenjunga Himalaya,27°44′27″N 88°09′31″E﻿ / ﻿27.74083°N 88.15861°E,432,Kangchenjunga,1994,3 (1)
