Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004,Unused_1
23,Nanda Devi,"7,816","25,643",Garhwal Himalaya,30°22′33″N 79°58′15″E﻿ / ﻿30.37583°N 79.97083°E,"3,139",Dhaulagiri,1936,14 (12),
24,Chomo Lonzo,"7,804","25,604",Mahalangur Himalaya,27°55′50″N 87°06′28″E﻿ / ﻿27.93056°N 87.10778°E,590,Makalu,1954,3 (1),
25,Batura Sar,"7,795","25,574",Batura Karakoram,36°30′37″N 74°31′21″E﻿ / ﻿36.51028°N 74.52250°E,"3,118",Distaghil Sar,1976,4 (6),
26,Kanjut Sar,"7,790","25,558",Hispar Karakoram,36°12′20″N 75°25′01″E﻿ / ﻿36.20556°N 75.41694°E,"1,690",Khunyang Chhish,1959,2 (1),
27,Rakaposhi,"7,788","25,551",Rakaposhi-Haramosh Karakoram,36°08′33″N 74°29′22″E﻿ / ﻿36.14250°N 74.48944°E,"2,818",Khunyang Chhish,1958,8 (13),
28,Namcha Barwa,"7,782","25,531",Assam Himalaya,29°37′52″N 95°03′19″E﻿ / ﻿29.63111°N 95.05528°E,"4,106",Kangchenjunga,1992,1 (2),
29,Kamet,"7,756","25,446",Garhwal Himalaya,30°55′12″N 79°35′30″E﻿ / ﻿30.92000°N 79.59167°E *,"2,825",Nanda Devi,1931,23 (14),
30,Dhaulagiri II,"7,751","25,430",Dhaulagiri Himalaya,28°45′46″N 83°23′18″E﻿ / ﻿28.76278°N 83.38833°E,"2,396",Dhaulagiri,1971,4 (11),
31,Saltoro Kangri/K10,"7,742","25,400",Saltoro Karakoram,35°23′57″N 76°50′53″E﻿ / ﻿35.39917°N 76.84806°E *,"2,160",Gasherbrum I,1962,2 (1),
32,Jannu,"7,711","25,299",Kangchenjunga Himalaya,27°40′56″N 88°02′40″E﻿ / ﻿27.68222°N 88.04444°E *,"1,036",Kangchenjunga,1962,17 (12),
33,Tirich Mir,"7,708","25,289",Hindu Kush,36°15′19″N 71°50′30″E﻿ / ﻿36.25528°N 71.84167°E *,"3,910",Batura Sar,1950,20 (11),
,Molamenqing,"7,703","25,272",Langtang Himalaya,28°21′18″N 85°48′35″E﻿ / ﻿28.35500°N 85.80972°E,430,Shishapangma,1981,1 (0),
