Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004
13,Gasherbrum II/K4,"8,034","26,362",Baltoro Karakoram,35°45′28″N 76°39′12″E﻿ / ﻿35.75778°N 76.65333°E,"1,523",Gasherbrum I,1956,54 (12)
14,Shishapangma,"8,027","26,335",Jugal Himalaya,28°21′12″N 85°46′43″E﻿ / ﻿28.35333°N 85.77861°E,"2,897",Cho Oyu,1964,43 (19)
15,Gyachung Kang,"7,952","26,089",Mahalangur Himalaya,28°05′53″N 86°44′42″E﻿ / ﻿28.09806°N 86.74500°E,700,Cho Oyu,1964,5 (3)
,Gasherbrum III,"7,946","26,070",Baltoro Karakoram,35°45′33″N 76°38′30″E﻿ / ﻿35.75917°N 76.64167°E,355,Gasherbrum II,1975,2 (2)
16,Annapurna II,"7,937","26,040",Annapurna Himalaya,28°32′05″N 84°07′19″E﻿ / ﻿28.53472°N 84.12194°E,"2,437",Annapurna I,1960,6 (19)
17,Gasherbrum IV,"7,932","26,024",Baltoro Karakoram,35°45′38″N 76°36′58″E﻿ / ﻿35.76056°N 76.61611°E,715,Gasherbrum III,1958,4 (11)
18,Himalchuli,"7,893","25,896",Manaslu Himalaya,28°26′12″N 84°38′23″E﻿ / ﻿28.43667°N 84.63972°E *,"1,633",Manaslu,1960,6 (12)
19,Distaghil Sar,"7,884","25,866",Hispar Karakoram,36°19′33″N 75°11′16″E﻿ / ﻿36.32583°N 75.18778°E,"2,525",K2,1960,3 (5)
20,Ngadi Chuli,"7,871","25,823",Manaslu Himalaya,28°30′12″N 84°34′00″E﻿ / ﻿28.50333°N 84.56667°E,"1,020",Manaslu,1970,2 (6)
,Nuptse,"7,864","25,801",Mahalangur Himalaya,27°58′03″N 86°53′13″E﻿ / ﻿27.96750°N 86.88694°E,319,Lhotse,1961,5 (12)
21,Khunyang Chhish,"7,823","25,666",Hispar Karakoram,36°12′19″N 75°12′28″E﻿ / ﻿36.20528°N 75.20778°E *,"1,765",Distaghil Sar,1971,2 (6)
22,Masherbrum/K1,"7,821","25,659",Masherbrum Karakoram,35°38′28″N 76°18′21″E﻿ / ﻿35.64111°N 76.30583°E,"2,457",Gasherbrum I,1960,4 (9)
