Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004
44,Skyang Kangri,"7,545","24,754",Baltoro Karakoram,35°55′35″N 76°34′03″E﻿ / ﻿35.92639°N 76.56750°E,"1,085",K2,1976,1 (2)
45,Changtse,"7,543","24,747",Mahalangur Himalaya,28°01′29″N 86°54′51″E﻿ / ﻿28.02472°N 86.91417°E,520,Mount Everest,1982,9 (9)
46,Kula Kangri,"7,538","24,731",Kula Kangri Himalaya,28°13′37″N 90°36′59″E﻿ / ﻿28.22694°N 90.61639°E,"1,650",Gangkhar Puensum,1986,3 (2)
47,Kongur Tiube,"7,530","24,705",Kongur Shan Kunlun,38°36′57″N 75°11′45″E﻿ / ﻿38.61583°N 75.19583°E,840,Kongur Tagh,1956,2 (3)
48,Mamostong Kangri,"7,516","24,659",Rimo Karakoram,35°08′31″N 77°34′39″E﻿ / ﻿35.14194°N 77.57750°E,"1,803",Gasherbrum I,1984,5 (0)
49,Saser Kangri II E,"7,513","24,649",Saser Karakoram,34°48′17″N 77°48′24″E﻿ / ﻿34.80472°N 77.80667°E,"1,450",Saser Kangri I,2011,0 (0)
50,Ismoil Somoni Peak,"7,495","24,590",Pamir (Akademiya Nauk Range),38°56′35″N 72°00′57″E﻿ / ﻿38.94306°N 72.01583°E,"3,402",Muztagh Ata,1933,
51,Saser Kangri III,"7,495","24,590",Saser Karakoram,34°50′44″N 77°47′06″E﻿ / ﻿34.84556°N 77.78500°E,850,Saser Kangri I,1986,1 (0)
52,Noshaq,"7,492","24,580",Hindu Kush,36°25′56″N 71°49′43″E﻿ / ﻿36.43222°N 71.82861°E,"2,024",Tirich Mir,1960,33 (3)
53,Pumari Chhish,"7,492","24,580",Hispar Karakoram,36°12′41″N 75°15′01″E﻿ / ﻿36.21139°N 75.25028°E,890,Khunyang Chhish,1979,1 (2)
54,Pasu Sar,"7,476","24,528",Batura Karakoram,36°29′16″N 74°35′16″E﻿ / ﻿36.48778°N 74.58778°E,645,Batura Sar,1994,1 (0)
55,Yukshin Gardan Sar,"7,469","24,505",Hispar Karakoram,36°15′04″N 75°22′29″E﻿ / ﻿36.25111°N 75.37472°E,"1,313",Pumari Chhish,1984,4 (1)
