Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004,Random_Column_1
56,Teram Kangri I,"7,462","24,482",Siachen Karakoram,35°34′48″N 77°04′42″E﻿ / ﻿35.58000°N 77.07833°E,"1,702",Gasherbrum I,1975,2 (0),AppnW68
57,Jongsong Peak,"7,462","24,482",Kangchenjunga Himalaya,27°52′54″N 88°08′09″E﻿ / ﻿27.88167°N 88.13583°E,"1,298",Kangchenjunga,1930,2 (3),tN32j
58,Malubiting,"7,458","24,469",Rakaposhi-Haramosh Karakoram,36°00′12″N 74°52′31″E﻿ / ﻿36.00333°N 74.87528°E,"2,193",Rakaposhi,1971,2 (6),wFKldHwu
59,Gangapurna,"7,455","24,459",Annapurna Himalaya,28°36′18″N 83°57′49″E﻿ / ﻿28.60500°N 83.96361°E,563,Annapurna III,1965,8 (13),OwEiIq
60,Jengish Chokusu/Tömür/Pk Pobeda,"7,439","24,406",Tian Shan,42°02′05″N 80°07′47″E﻿ / ﻿42.03472°N 80.12972°E,"4,148",Ismail Samani Peak,1938,,8HHb8
61,K12,"7,428","24,370",Saltoro Karakoram,35°17′45″N 77°01′20″E﻿ / ﻿35.29583°N 77.02222°E,"1,978",Saltoro Kangri,1974,4 (2),4agL89S
62,Yangra/Ganesh I,"7,422","24,350",Ganesh Himalaya,28°23′29″N 85°07′38″E﻿ / ﻿28.39139°N 85.12722°E,"2,352",Manaslu,1955,1 (6),UmCDanq
63,Sia Kangri,"7,422","24,350",Siachen Karakoram,35°39′48″N 76°45′42″E﻿ / ﻿35.66333°N 76.76167°E,640,Gasherbrum I,1934,6 (0),xSUHV
64,Momhil Sar,"7,414","24,324",Hispar Karakoram,36°19′04″N 75°02′11″E﻿ / ﻿36.31778°N 75.03639°E *,980,Trivor,1964,2 (6),iZRTIUS3
65,Kabru N,"7,412","24,318",Kangchenjunga Himalaya,27°38′02″N 88°07′00″E﻿ / ﻿27.63389°N 88.11667°E,780,Kangchenjunga,1994,1 (2),H9j7ia
66,Skil Brum,"7,410","24,311",Baltoro Karakoram,35°51′03″N 76°25′43″E﻿ / ﻿35.85083°N 76.42861°E,"1,152",K2,1957,2 (1),xSoyhCBe
67,Haramosh,"7,409","24,308",Rakaposhi Karakoram,35°50′24″N 74°53′51″E﻿ / ﻿35.84000°N 74.89750°E,"2,277",Malubiting,1958,4 (3),u5TtquaE
