Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004
99,Langtang Lirung,"7,227","23,711",Langtang Himalaya,28°15′22″N 85°31′01″E﻿ / ﻿28.25611°N 85.51694°E,"1,525",Shisha Pangma,1978,14 (13)
100,Karjiang,"7,221","23,691",Kula Kangri Himalaya,28°15′27″N 90°38′49″E﻿ / ﻿28.25750°N 90.64694°E,880,Kula Kangri,unclimbed,0 (2)
101,Annapurna Dakshin,"7,219","23,684",Annapurna Himalaya,28°31′06″N 83°48′22″E﻿ / ﻿28.51833°N 83.80611°E,775,Annapurna,1964,10 (16)
102,Khartaphu,"7,213","23,665",Mahalangur Himalaya,28°03′49″N 86°58′39″E﻿ / ﻿28.06361°N 86.97750°E,712,Mount Everest,1935,1 (0)
103,Tongshanjiabu,"7,207","23,645",Lunana Himalaya,28°11′12″N 89°57′27″E﻿ / ﻿28.18667°N 89.95750°E,"1,757",Gangkar Puensum,unclimbed,0 (0)
104,Malangutti Sar,"7,207","23,645",Hispar Karakoram,36°21′47″N 75°08′57″E﻿ / ﻿36.36306°N 75.14917°E,515,Distaghil Sar,1985,1 (0)
105,Noijin Kangsang/Norin Kang,"7,206","23,642",Nagarze Himalaya,28°56′48″N 90°10′42″E﻿ / ﻿28.94667°N 90.17833°E,"2,160",Tongshanjiabu,1986,4 (1)
106,Langtang Ri,"7,205","23,638",Langtang Himalaya,28°22′53″N 85°41′01″E﻿ / ﻿28.38139°N 85.68361°E,650,Porong Ri,1981,4 (0)
107,Kangphu Kang,"7,204","23,635",Lunana Himalaya,28°09′20″N 90°03′48″E﻿ / ﻿28.15556°N 90.06333°E,"1,200",Tongshanjiabu,2002,1 (0)
108,Singhi Kangri,"7,202","23,629",Siachen Karakoram,35°35′59″N 76°59′01″E﻿ / ﻿35.59972°N 76.98361°E,790,Teram Kangri III,1976,2 (0)
109,Lupghar Sar,"7,200","23,622",Hispar Karakoram,36°21′01″N 75°02′13″E﻿ / ﻿36.35028°N 75.03694°E *,730,Momhil Sar,1979,1 (0)
