Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004
34,Gurla Mandhata,"7,694","25,243",Nalakankar Himalaya,30°26′19″N 81°17′48″E﻿ / ﻿30.43861°N 81.29667°E,"2,788",Dhaulagiri,1985,6 (4)
35,Saser Kangri I/K22,"7,672","25,171",Saser Karakoram,34°52′00″N 77°45′09″E﻿ / ﻿34.86667°N 77.75250°E,"2,304",Gasherbrum I,1973,6 (4)
36,Chogolisa,"7,665","25,148",Masherbrum Karakoram,35°36′47″N 76°34′29″E﻿ / ﻿35.61306°N 76.57472°E,"1,624",Masherbrum,1975,4 (2)
,Dhaulagiri IV,"7,661","25,135",Dhaulagiri Himalaya,28°44′09″N 83°18′55″E﻿ / ﻿28.73583°N 83.31528°E,469,Dhaulagiri II,1975,2 (10)
37,Kongur Tagh,"7,649","25,095",Kongur Shan Kunlun,38°35′36″N 75°18′48″E﻿ / ﻿38.59333°N 75.31333°E,"3,585",Distaghil Sar,1981,2 (4)
,Dhaulagiri V,"7,618","24,993",Dhaulagiri Himalaya,28°44′02″N 83°21′41″E﻿ / ﻿28.73389°N 83.36139°E *,340,Dhaulagiri IV,1975,2 (3)
38,Shispare,"7,611","24,970",Batura Karakoram,36°26′26″N 74°40′51″E﻿ / ﻿36.44056°N 74.68083°E,"1,240",Batura Sar,1974,3 (1)
39,Trivor,"7,577","24,859",Hispar Karakoram,36°17′15″N 75°05′06″E﻿ / ﻿36.28750°N 75.08500°E *,980,Distaghil Sar,1960,2 (5)
40,Gangkhar Puensum,"7,570","24,836",Kula Kangri Himalaya,28°02′50″N 90°27′19″E﻿ / ﻿28.04722°N 90.45528°E *,"2,995",Kangchenjunga,unclimbed,0 (3)
41,Gongga Shan/Minya Konka,"7,556","24,790",Daxue Shan,29°35′43″N 101°52′47″E﻿ / ﻿29.59528°N 101.87972°E,"3,642",Mount Everest,1932,6 (7)
42,Annapurna III,"7,555","24,787",Annapurna Himalaya,28°35′06″N 83°59′24″E﻿ / ﻿28.58500°N 83.99000°E,703,Annapurna I,1961,10 (17)
43,Muztagh Ata,"7,546","24,757",Muztagata Kunlun,38°16′33″N 75°06′58″E﻿ / ﻿38.27583°N 75.11611°E,"2,735",Kongur Tagh,1956,Many
