Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004,Noise_Field_1
89,Baltistan Peak/K6,"7,282","23,891",Masherbrum Karakoram,35°25′06″N 76°33′06″E﻿ / ﻿35.41833°N 76.55167°E,"1,962",Chogolisa,1970,1 (3),lvPoSOKj
90,Kangpenqing/Gang Benchhen,"7,281","23,888",Baiku Himalaya,28°33′03″N 85°32′44″E﻿ / ﻿28.55083°N 85.54556°E,"1,340",Shisha Pangma,1982,1 (1),wLOcm
91,Muztagh Tower,"7,276","23,871",Baltoro Karakoram,35°49′40″N 76°21′40″E﻿ / ﻿35.82778°N 76.36111°E,"1,710",Skil Brum,1956,4 (2),qvKQdM
92,Mana,"7,272","23,858",Garhwal Himalaya,30°52′50″N 79°36′55″E﻿ / ﻿30.88056°N 79.61528°E,730,Kamet,1937,7 (3),kQTWKxPE
,Dhaulagiri VI,"7,268","23,845",Dhaulagiri Himalaya,28°42′31″N 83°16′27″E﻿ / ﻿28.70861°N 83.27417°E,485,Dhaulagiri IV,1970,5 (0),fALTi
93,Diran,"7,266","23,839",Rakaposhi-Haramosh Karakoram,36°07′13″N 74°39′42″E﻿ / ﻿36.12028°N 74.66167°E,"1,325",Malubiting,1968,12 (8),CxttRiMz
94,Labuche Kang III/East,"7,250","23,786",Labuche Himalaya,28°18′05″N 86°23′02″E﻿ / ﻿28.30139°N 86.38389°E,570,Labuche Kang,unclimbed,0 (0),PIdsj
95,Putha Hiunchuli,"7,246","23,773",Dhaulagiri Himalaya,28°44′52″N 83°08′46″E﻿ / ﻿28.74778°N 83.14611°E,"1,151",Churen Himal,1954,11 (5),uGzTMa
96,Apsarasas Kangri,"7,245","23,770",Siachen Karakoram,35°32′19″N 77°08′55″E﻿ / ﻿35.53861°N 77.14861°E,635,Teram Kangri I,1976,2 (0),lhbdF
97,Mukut Parbat,"7,242","23,760",Garhwal Himalaya,30°56′57″N 79°34′12″E﻿ / ﻿30.94917°N 79.57000°E,840,Kamet,1951,2 (1),bUWmg
98,Rimo III,"7,233","23,730",Rimo Karakoram,35°22′31″N 77°21′42″E﻿ / ﻿35.37528°N 77.36167°E,615,Rimo I,1985,1 (0),sjQGi
