Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004
1,Mount Everest/Sagarmatha/Chomolungma,"8,848","29,029",Mahalangur Himalaya,27°59′17″N 86°55′31″E﻿ / ﻿27.98806°N 86.92528°E,"8,848",none,1953,>>145 (121)
2,K2/Qogir/Godwin Austen,"8,611","28,251",Baltoro Karakoram,35°52′53″N 76°30′48″E﻿ / ﻿35.88139°N 76.51333°E,"4,017",Mount Everest,1954,45 (44)
3,Kangchenjunga,"8,586","28,169",Kangchenjunga Himalaya,27°42′12″N 88°08′51″E﻿ / ﻿27.70333°N 88.14750°E *,"3,922",Mount Everest,1955,38 (24)
4,Lhotse,"8,516","27,940",Mahalangur Himalaya,27°57′42″N 86°55′59″E﻿ / ﻿27.96167°N 86.93306°E,610,Mount Everest,1956,26 (26)
5,Makalu,"8,485","27,838",Mahalangur Himalaya,27°53′23″N 87°5′20″E﻿ / ﻿27.88972°N 87.08889°E,"2,386",Mount Everest,1955,45 (52)
6,Cho Oyu,"8,188","26,864",Mahalangur Himalaya,28°05′39″N 86°39′39″E﻿ / ﻿28.09417°N 86.66083°E,"2,340",Mount Everest,1954,79 (28)
7,Dhaulagiri I,"8,167","26,795",Dhaulagiri Himalaya,28°41′48″N 83°29′35″E﻿ / ﻿28.69667°N 83.49306°E,"3,357",K2,1960,51 (39)
8,Manaslu,"8,163","26,781",Manaslu Himalaya,28°33′00″N 84°33′35″E﻿ / ﻿28.55000°N 84.55972°E,"3,092",Cho Oyu,1956,49 (45)
9,Nanga Parbat,"8,126","26,660",Nanga Parbat Himalaya,35°14′14″N 74°35′21″E﻿ / ﻿35.23722°N 74.58917°E,"4,608",Dhaulagiri,1953,52 (67)
10,Annapurna I,"8,091","26,545",Annapurna Himalaya,28°35′44″N 83°49′13″E﻿ / ﻿28.59556°N 83.82028°E,"2,984",Cho Oyu,1950,36 (47)
11,Gasherbrum I/Hidden Peak/K5,"8,080","26,509",Baltoro Karakoram,35°43′28″N 76°41′47″E﻿ / ﻿35.72444°N 76.69639°E,"2,155",K2,1958,31 (16)
12,Broad Peak/K3,"8,051","26,414",Baltoro Karakoram,35°48′38″N 76°34′06″E﻿ / ﻿35.81056°N 76.56833°E,"1,701",Gasherbrum I,1957,39 (19)
