Name,Nation,Position,League Apps,League Goals,FA Cup Apps,FA Cup Goals,Total Apps,Total Goals,Noise_Field_1,Irrelevant_2,Extra_Data_3
Ned Barkas,England,DF,4,0,0,0,4,0,VShxyfBd,MfGsBPj,177
Harry Brough,England,DF,9,0,0,0,9,0,lZCdTDg,25dn87,981
George Brown,England,FW,6,4,0,0,6,4,atJqoG,rq32sj,697
Jack Byers,England,MF,5,1,0,0,5,1,YjVZdie,2qO4S6,18
Harry Cawthorne,England,DF,5,0,0,0,5,0,xfDEN,NNjYwj,661
Ted Davis,England,GK,27,0,7,0,34,0,flIGRPPe,qZu9N,948
Ernie Islip,England,FW,34,11,9,4,43,15,AuUCYEEW,KC63tx,767
Billy Johnston,England,FW,21,2,2,0,23,2,KXAJERa,nzjMVH,673
Robert Jones,England,MF,2,1,0,0,2,1,BrVwr,zyPs2CZJ,778
Frank Mann,England,FW,40,5,8,4,48,9,SyfBLZVs,jmxNfhen,422
Len Marlow,England,FW,1,0,0,0,1,0,QJoAM,dNCpW1X8,863
Colin McKay,Scotland,DF,14,2,0,0,14,2,YEvtFLgm,efJV4y1D,26
