Name,Nation,Position,League Apps,League Goals,FA Cup Apps,FA Cup Goals,Total Apps,Total Goals
Sandy Mutch,Scotland,GK,15,0,2,0,17,0
Stan Pearson,England,MF,1,0,1,0,2,0
George Richardson,England,MF,14,1,8,1,22,2
Charlie Slade,England,DF,25,0,9,0,34,0
Billy E. Smith,England,FW,1,0,0,0,1,0
Billy H. Smith,England,MF,40,8,9,4,49,12
Clem Stephenson,England,FW,39,9,9,6,48,15
Jack Swann,England,FW,9,3,0,0,9,3
Sam Wadsworth,England,DF,39,1,9,0,48,1
Billy Watson,England,DF,36,0,9,1,45,1
Tom Wilson,England,DF,39,1,9,0,48,1
James Wood,England,DF,36,0,9,0,45,0
