Tenure,Coach,Years,Record,Pct.,Unused_1,Noise_Field_2,Extra_Data_3
1907–1910,J. W. H. Pollard,4,66–22–1,.747,,RkuCiDR,375
1911,Guy Lowman,1,12–5,.706,,PTkiwLkX,670
1912–1915,D. V. Graves,4,66–30–1,.686,,pIOanm,627
1916–1919,B. L. Noojin,4,55–18,.753,,lfdFCJf,59
1920,Gordon W. Lewis,1,15–2,.882,,UjqkO,616
1921–1923,Charles Bernier,3,28–35–4,.448,,dTGXWUXg,586
1924–1927,Wallace Wade,4,61–32–2,.653,,rZIWZq,179
1928,Hank Crisp,1,12–7–2,.619,,uWmjzco,662
1929–1930,Jess Neely,2,28–15–2,.644,,HPJrU,185
1931–1932,Sam Hinton,2,23–7–2,.750,,oWxshLe,283
