Rank,Athlete,Nationality,Time,Notes,Random_Column_1
,Valeriy Borchin,Russia,1:19:56,,IGNuGjK
,Vladimir Kanaykin,Russia,1:20:27,,PYttTh
,Luis Fernando López,Colombia,1:20:38,SB,FVOCflC
4,Wang Zhen,China,1:20:54,,qiH1nJFn
5,Stanislav Emelyanov,Russia,1:21:11,,Nd2Ei
6,Kim Hyun-sub,South Korea,1:21:17,,FDiZQ
7,Ruslan Dmytrenko,Ukraine,1:21:31,SB,eFrSmrqk
8,Yusuke Suzuki,Japan,1:21:39,,as66hT
9,Alex Schwazer,Italy,1:21:50,SB,LuoSXR
10,Erick Barrondo,Guatemala,1:22:08,,J0xlQp
11,Chu Yafei,China,1:22:10,,65UG1G
12,Sergey Morozov,Russia,1:22:37,,27QZs
