Country,Alternante title,TV Network(s),Series premiere,Series finale
Panama,La Fuerza del Destino,Canal 13,"January 16, 2012","May 7, 2012"
Chile,La Fuerza del Destino,Mega TV,"January 31, 2012","April 19, 2012"
Romania,Forța destinului,Acasă TV,"March 26, 2012","May 28, 2012"
Iran,The Power of Destiny,Farsi1,"March 10, 2012","July 28, 2012"
Israel,כוחו של גורל,Viva,"April 19, 2012","September 21, 2012"
Croatia,Moć sudbine,HRT,"June 5, 2012","October 9, 2012"
Slovenia,Moč usode,POP TV,"July 12, 2012","November 30, 2012"
Macedonia,Силата на судбината,Pink 15,2011,2011
Morocco,Al Maktoub المكتوب,2M TV,"August 14, 2013","January 2, 2014"
Cyprus,Η εκδίκηση,ANT1,"October 15, 2013",Present
France,La Force du Destin,IDF1,"September 23, 2013","December 2, 2013"
Cameroon,La force du destin,Canal 2 International,"September 23, 2013","December 2, 2014"
Romania,Forța destinului,Acasă TV,"February 7, 2014",Present
