Country,Alternante title,TV Network(s),Series premiere,Series finale,Dummy_Col_1,Extra_Data_2,Dummy_Col_3
Mexico,La Fuerza del Destino,Canal de las Estrellas,"March 14, 2011","July 31, 2011",nEMegqY,591,GNijR
Colombia,La Fuerza del Destino,RCN TV,"May 2, 2011","September 20, 2011",KaKRvANG,459,HFKCb
Venezuela,La Fuerza del Destino,Venevision,"May 5, 2011","September 20, 2011",btRdB,225,qZUCf
Peru,La Fuerza del Destino,América TV,"May 23, 2011","November 11, 2011",BtCpubDP,871,lLbIAdnG
USA,La Fuerza del Destino,Univision,"August 2, 2011","December 26, 2011",whhXh,389,Yirnr
Albania,Forca e Fatit,Vizion Plus,"August 29, 2011","January 9, 2012",WIJbvudR,188,Rpczqw
Poland,Miłość i przeznaczenie,TV Puls,"September 5, 2011","February 7, 2012",xgVjmzW,970,XaRklWhN
Serbia,Tajna ljubav,RTV PinkPink Soap,"September 12, 2011July 3, 2013","April 13, 2012October 12, 2013",eFiYBtOZ,102,aycRjDNe
Spain,La Fuerza del Destino,La 1,"September 21, 2011","January 25, 2012",MWxzXfDb,350,sLEqISFL
Bosnia and Herzegovina,Tajna ljubav,Pink BH,"November 22, 2011","May 16, 2012",Vyergt,759,kcNWmM
Montenegro,Tajna ljubav,Pink M,"December 19, 2011","May 2, 2012",WsVOf,243,EkoZSfQI
Lithuania,Likimo galia,TV3,"January 4, 2012","May 31, 2012",RaXYbC,353,MJfwVt
Hungary,A végzet hatalma,STORY4,"January 9, 2012","June 1, 2012",btOprzf,311,opbjKkI
