Date,Name,Moving from,Moving to,Fee
18 July 2009,Aldo,Cruzeiro,Marítimo,Loan
18 July 2009,Ruca,Porto,Marítimo,Free
18 July 2009,Bruno Grassi,Marítimo,Tourizense,Loan
18 July 2009,Ruben Lima,Benfica,Vitória de Setúbal,Loan
18 July 2009,Leandro Lima,Porto,Cruzeiro,Loan
18 July 2009,Aly Cissokho,Porto,Lyon,"€ 15,000,000"
19 July 2009,Gonçalo,Nacional,Santa Clara,Loan
19 July 2009,Roberto Tucker,Quilmes,Leixões,Free
24 July 2009,Alberto,Rio Branco,União de Leiria,Free
24 July 2009,Hammes,Rio Branco,União de Leiria,Free
20 July 2009,Maykon,Belenenses,Paços de Ferreira,Free
20 July 2009,Pelé,Porto,Real Valladolid,Loan
20 July 2009,Barroca,Tourizense,Académica de Coimbra,Free
