Date,Name,Moving from,Moving to,Fee
3 March 2009,Silvestre Varela,Estrela da Amadora,Porto,Free
14 April 2009,Mario Rondón,Pontassolense,Nacional,Free
18 April 2009,Patric,São Caetano,Benfica,Undisclosed Fee
23 April 2009,Orlando Sá,Braga,Porto,Undisclosed Fee
8 May 2009,Kamani Hill,Wolfsburg,Vitória de Guimarães,Free
16 May 2009,Manuel José,Cluj,Paços de Ferreira,Free
17 May 2009,Jorge Gonçalves,Racing de Santander,Vitória de Guimarães,Loan
22 May 2009,Ramires,Cruzeiro,Benfica,"€ 7,500,000"
26 May 2009,Luis Aguiar,Braga,Dynamo Moscow,Undisclosed Fee
26 May 2009,Jonathan Bru,AEP Paphos,Académica de Coimbra,Free
29 May 2009,Peterson Peçanha,Thrasyvoulos,Marítimo,Free
30 May 2009,Maicon,Nacional,Porto,"€ 2,000,000"
31 May 2009,David Mendieta,12 de Octubre,Vitória de Guimarães,Undisclosed Fee
