Date,Name,Moving from,Moving to,Fee,Extra_Data_1,Filler_2,Irrelevant_3
21 July 2009,Javi García,Real Madrid,Benfica,"€ 7,000,000",648,rEiScp,z5bIKGn
21 July 2009,Sebastián Prediger,Colón,Porto,"€ 2,000,000",101,YjQIAvoF,e4lvILlo
21 July 2009,Weldon,Sport,Benfica,"€ 276,000",947,mYFyvJeR,2sXNbICy
22 July 2009,Przemysław Kaźmierczak,Porto,Vitória de Setúbal,Free,653,IZjDEB,RQsaKl5k
23 July 2009,Miguel Rosa,Benfica,Carregado,Loan,70,KLMRwPYg,dBXSUWlY
23 July 2009,Ivan Santos,Benfica,Carregado,Loan,288,gzvVzyXP,DvTDKWr
23 July 2009,Abdou Guirassy,Ribeirão,Nacional,Free,751,tcOUGoap,HBL2pOpV
23 July 2009,Felipe Caicedo,Manchester City,Sporting CP,Loan,237,zcAfbG,F03FDe
24 July 2009,Vítor Castanheira,Braga,Chaves,Free,861,MwPCjYu,Wh3Ee
24 July 2009,Barge,Estoril,Belenenses,Free,178,uobezLcS,0ZQNuG
24 July 2009,Maciel,União de Leiria,Trofense,Loan,47,aEuLOAaF,tXzWiOp
27 July 2009,Milan Stepanov,Porto,Málaga,Loan,268,wtQYWwOx,eewrkza
29 July 2009,Miguel Fidalgo,Nacional,Académica de Coimbra,Loan,226,tHcVY,vqZwbxLN
