Date,Name,Moving from,Moving to,Fee,Random_Column_1
1 July 2009,Matías Fernández,Villarreal,Sporting CP,"€ 3,635,000",f92KPW
2 July 2009,Rodrigo Possebon,Manchester United,Braga,Loan,XQcGi4
2 July 2009,Tarik Sektioui,Porto,Ajman Club,Free,Q2545Yf
3 July 2009,Paulo Machado,Porto,Toulouse,"€ 3,500,000",mn2nEg
3 July 2009,Emídio Rafael,Portimonense,Académica de Coimbra,Free,Xezkt
3 July 2009,Bruno Amaro,Nacional,Académica de Coimbra,Loan,nfUDUlU
4 July 2009,Jean Paul Yontcha,Otopeni,Belenenses,Free,o86eVlZw
4 July 2009,Kevin Amuneke,Politehnica Timişoara,Porto,Free,6PpC5ESB
4 July 2009,Stélvio,Braga,União de Leiria,Loan,otjHy3
4 July 2009,Diego Gaúcho,Gil Vicente,União de Leiria,Free,ZYXYRi
6 July 2009,Kiko,Paços de Ferreira,Gil Vicente,Loan,v9S4M
6 July 2009,Fernando Belluschi,Olympiacos,Porto,"€ 5,000,000",gomMNwB3
7 July 2009,Luiz Carlos,União de Leiria,South China,Loan,6jJXvl
