Date,Name,Moving from,Moving to,Fee,Filler_1,Filler_2,Unused_3
31 July 2009,Júlio César,Belenenses,Benfica,"€ 500,000",oFksZF,TcHal,
8 August 2009,Igor Pita,Nacional,Beira-Mar,Loan,jMjrvSO,ChRMJsu,
12 August 2009,Hugo Santos,Naval,Operário,Free,vhrOatrY,oVjWGb,
17 August 2009,Kheireddine Zarabi,Belenenses,Vitória de Setúbal,Free,rHBWa,FlnVbY,
17 August 2009,Nelson Benítez,Porto,Leixões,Loan,FdvpM,NFoiNcu,
21 August 2009,Beto,Recreativo Huelva,Belenenses,Free,spXLybF,FZPkU,
24 August 2009,Adriano,Porto,Braga,Free,sRxafvS,TZutMUhH,
26 August 2009,Amaury Bischoff,Arsenal,Académica de Coimbra,Free,VeXYP,gFsBmJb,
26 August 2009,Mehdi Kerrouche,Gazélec Ajaccio,Naval,Free,fMHrHX,xCJda,
28 August 2009,Felipe Menezes,Goiás,Benfica,Undisclosed Fee,PQESbg,MPJjxeW,
29 August 2009,Nuno Coelho,Porto,Académica de Coimbra,Free,eyuQOn,UxejwsW,
29 August 2009,Bruno Vale,Porto,Belenenses,Loan,YLxwhox,OGWszUzQ,
