Date,Name,Moving from,Moving to,Fee
1 June 2009,Boris Peškovič,Académica de Coimbra,Cluj,Free
4 June 2009,Álvaro Pereira,Cluj,Porto,"€ 4,500,000"
6 June 2009,Anselmo,Estrela da Amadora,Nacional,Free
9 June 2009,José Shaffer,Racing,Benfica,"€ 1,900,000"
11 June 2009,Nuno Piloto,Académica de Coimbra,Iraklis,Free
11 June 2009,Paulo Jorge,Braga,APOEL,Undisclosed Fee
15 June 2009,Gustavo Lazzaretti,Atlético Paranaense,Vitória de Guimarães,Loan
16 June 2009,Janício,Vitória de Setúbal,Anorthosis,Free
17 June 2009,Jorge Gonçalves,Racing de Santander,Vitória de Guimarães,Loan
17 June 2009,Beto,Leixões,Porto,Undisclosed Fee
18 June 2009,Angelo Peña,Estudiantes de Mérida,Braga,Undisclosed Fee
19 June 2009,Nenê,Nacional,Cagliari,"€ 4,500,000"
21 June 2009,Filipe Mendes,Estrela da Amadora,Paços de Ferreira,Free
