Date,Name,Moving from,Moving to,Fee
29 August 2009,Miguel Ángel Angulo,Valencia,Sporting CP,Free
29 August 2009,Tiago Luís,Santos,União de Leiria,Loan
29 August 2009,Wênio,Vitória de Guimarães,Leixões,Free
29 August 2009,Jorginho,Braga,Gaziantepspor,Free
30 August 2009,Roland Linz,Braga,Gaziantepspor,Undisclosed Fee
30 August 2009,Seydou Koné,Botoșani,União de Leiria,Free
30 August 2009,El Hadji Diouf,AEK Athens,Vitória de Setúbal,Loan
31 August 2009,Milan Purović,Sporting CP,Videoton,Loan
31 August 2009,Nuno Frechaut,Braga,Metz,Free
31 August 2009,Ivo Pinto,Porto,Vitória de Setúbal,Loan
31 August 2009,Patric,Benfica,Cruzeiro,Loan
31 August 2009,Tiago Pinto,Sporting CP,Braga,Free
