Date,Name,Moving from,Moving to,Fee,Irrelevant_1
23 June 2009,Kostas Katsouranis,Benfica,Panathinaikos,"€ 2,500,000",sckCxZ
23 June 2009,Grégory,Vitória de Guimarães,Sporting Gijón,Free,eF9kF
23 June 2009,João Tomás,Boavista,Rio Ave,Free,L1PXZkq
23 June 2009,Fernando Alexandre,Estrela da Amadora,Braga,Free,FLlGFvl1
25 June 2009,Alex,Wolfsburg,Vitória de Guimarães,Free,qLRtpZ41
25 June 2009,Ney Santos,Estrela da Amadora,Braga,Free,XF3Tg6lU
26 June 2009,Chico Silva,Paços de Ferreira,Oliveirense,Free,4Y3Yjmz
26 June 2009,Brayan Angulo,Leixões,Deportivo La Coruña,"€ 100,000",j33v0SRH
29 June 2009,Javier Saviola,Real Madrid,Benfica,"€ 5,000,000",8q3FM
29 June 2009,Miguel Lopes,Rio Ave,Porto,"€ 600,000",GQ6DNTg
30 June 2009,Lucho González,Porto,Marseille,"€ 18,000,000",pqiAG
1 July 2009,Nejc Pečnik,Celje,Nacional,Undisclosed Fee,zC57Sp8A
1 July 2009,Diogo Valente,Porto,Braga,Free,aOykclNO
