Release date,Album,Record label,UK Albums Chart,U.S. Billboard 200 Chart,Random_Column_1,Irrelevant_2
July 2007,Three Sevens Clash ฿,21st Century,-,-,OimpG0,boHQoFo
August 2007,Fightback ฿,21st Century,-,-,mly4ggJN,OrnfHUn
September 2007,This is not a Test ฿,21st Century,-,-,t39uJd,4pb3Xe
October 2007,Situation Under Control ฿,21st Century,-,-,JDfthX,a0zMul
November 2007,Call to Action ฿,21st Century,-,-,xky3T,rPEO6Pf
December 2007,1983/84 ฿,21st Century,-,-,AQ6qPtQ,TlA6rwno
January 2008,Counter Attack ฿,21st Century,-,-,fKwkkz,XIL2s4Qe
2008,Guerilla Tactics ¤,21st Century,-,-,XJGHonO6,rJXz34u
2008,The Alarm - BBC Radio Sessions 1983-1991,21st Century,-,-,ZhE8Q,uYYE8B
April 2010,Direct Action °,21st Century,-,-,nhyMss,32x4rj74
March 2013,Vinyl (2012 film) Soundtrack °,-,-,,BhRnWPW,8jXloO
