Pos,Class,No,Team,Drivers,Chassis,Engine,Laps
17,P5.0,19,SpA Ferrari SEFAC,Günter Klass Peter Sutcliffe,Ferrari 330 P4,Ferrari 4.0L V12,296
18,P+5.0,57,Shelby-American Inc.,Ronnie Bucknum Paul Hawkins,Ford GT40 Mk.IIB,Ford 7.0L V8,271
19,P+5.0,7,Chaparral Cars Inc.,Phil Hill Mike Spence,Chaparral 2F,Chevrolet 7.0L V8,225
20,P1.3,47,Société des Automobiles Alpine,Jean-Claude Andruet Robert Bouharde,Alpine A210,Renault-Gordini 1.3L I4,219
21,P5.0,23,Maranello Concessionaires,Richard Attwood Piers Courage,Ferrari 412P,Ferrari 4.0L V12,208
22,P1.15,56,Ecurie Savin-Calberson,Gérard Larrousse Patrick Depailler,Alpine A210,Renault-Gordini 1.0L I4,204
23,P1.15,55,North American Racing Team (NART),Jean-Luc Thérier Francois Chevalier,Alpine M64,Renault-Gordini 1.0L I4,201
24,P+5.0,3,Holman & Moody,Mario Andretti Lucien Bianchi,Ford GT40 Mk.IV,Ford 7.0L V8,188
25,P+5.0,6,Holman & Moody Ford France S.A.,Jo Schlesser Guy Ligier,Ford GT40 Mk.IIB,Ford 7.0L V8,183
26,S5.0,16,Ford France S.A.,Pierre Dumay Henri Greder,Ford GT40 Mk.I,Ford 4.7L V8,179
27,P+5.0,5,Holman & Moody,Roger McCluskey Frank Gardner,Ford GT40 Mk.IIB,Ford 7.0L V8,179
28,GT+5.0,9,Dana Chevrolet Inc.,Bob Bondurant Dick Guldstrand,Chevrolet Corvette,Chevrolet 7.0L V8,167
29,P2.0,29,Equipe Matra Sports,Jean-Pierre Beltoise Johnny Servoz-Gavin,Matra MS630,BRM 2.0L V8,155
