Pos,Class,No,Team,Drivers,Chassis,Engine,Laps,Filler_1,Unused_2,Dummy_Col_3
43,P2.0,30,Equipe Matra Sports,Jean-Pierre Jaussaud Henri Pescarolo,Matra MS630,BRM 2.0L V8,55,koPQq,,GkkKTew
44,P1.6,44,Team Elite,David Preston John Wagstaff,Lotus Europa Mk.47,Ford Cosworth 1.6L I4,42,qycKhh,,qZaWpj
45,P1.15,53,S.E.C. Automobiles CD,André Guilhaudin Alain Bertaut,CD SP66C,Peugeot 1.1L I4,35,HNQULfPn,,SqHbUY
46,P5.0,26,North American Racing Team (NART),Ricardo Rodriguez Chuck Parsons,Ferrari 365 P2,Ferrari 4.4L V12,30,IytAogfF,,jRlis
47,P+5.0,15,John Wyer Automotive Engineering,Jacky Ickx Brian Muir,Mirage M1(Ford GT40 Lightweight),Ford 5.7L V8,29,iateWVl,,EgGfyAzv
48,P1.15,52,S.E.C. Automobiles CD,Dennis Dayan Claude Ballot-Léna,CD SP66C,Peugeot 1.1L I4,25,wJbQB,,zgFXMcr
49,P+5.0,12,Lola Cars Ltd. / Team Surtees,Peter de Klerk Chris Irwin,Lola T70 Mk.III,Aston Martin 5.0L V8,25,oLqzzdlO,,GUvfv
50,S5.0,62,John Wyer Automotive Engineering /Viscount Downe,Mike Salmon Brian Redman,Ford GT40 Mk.I,Ford 4.7L V8,20,xYneNQ,,nDpMTuM
51,P1.15,54,Roger Nathan Racing Ltd.,Roger Nathan Mike Beckwith,Costin Nathan,Hillman 1.0L I4,15,rCXLuRpL,,BfQLY
52,P1.3,50,Marcos Racing Ltd.,Chris J. Lawrence Jem Marsh,Marcos Mini Marcos GT,BMC 1.3L I4,13,mbFuez,,TZSXwRk
53,P+5.0,11,Lola Cars Ltd. / Team Surtees,John Surtees David Hobbs,Lola T70 Mk.III,Aston Martin 5.0L V8,3,bbwaEz,,cqpYv
54,GT2.0,43,"\Franc\""""",Jacques Dewes Anton Fischhaber,Porsche 911S,Porsche 2.0L Flat-6,2,QIPbxV,,jdoTVVWR
