Region,Country,Location,Size (m),Payload (metric tonnes),Degrees of Freedom,X Horiz Disp (mm),Y Horiz Disp (mm),Z Vert Disp (mm),X Horiz Vel (mm/s),Y Horiz vel (mm/s),Z Vert vel (mm/s),X Horiz accel (m/s2),Y Horiz accel (m/s2),Z Vert accel (m/s2),Max Freq (Hz),Details checked
Africa,Algeria,CGS Laboratory (in construction),6.1 x 6.1,60,6,±150,±250,±100,±1100,±1100,±1000,±10,±10,±8,100,30/6/2010
Africa,South Africa,University of Witwatersrand,4 x 4,10,1,±750,n/a,n/a,±1000,n/a,n/a,±10,n/a,n/a,40,17/7/2009
Asia,China,"China Academy of Building Research, Beijing",6.1 x 6.1,60,6,±150,±250,±100,±1000,±1200,±800,±15,±10,±8,50,?
Asia,China,Guangzhou University,3 x 3,20,6,±100,±100,±50,±1000,±1000,±1000,±26,±26,±50,50,10/7/2008
Asia,China,Nanjing University of Technology,3 x 5,15,3,±120,±120,±120,±500,±500,±500,±10,±10,±10,50,?
Asia,China,"Tongji University, Shanghai",4 x 4,25,6,±100,±50,±50,±1000,±600,±600,±40,±20,±40,50,?
Asia,China,Xi'a University of Architecture & Technology,2 x 2,?,?,?,?,?,?,?,?,?,?,?,?,?
Asia,Singapore,Nanyang Technological University,3 x 3,10,1,±120,n/a,n/a,±650,n/a,n/a,±20,n/a,n/a,50,23/7/2008
Asia,Hong Kong,City University of Hong Kong,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Asia,Hong Kong,Hong Kong Polytechnic University,3 x 3,10,?,?,?,?,?,?,?,10,?,?,?,?
Asia,India,"Jamia Millia Islamia,New Delhi",5 x 5,20,1,±500,n/a,n/a,?,?,?,±20,n/a,n/a,100,?
Asia,India,IIT Guwahati,2.5 x 2.5,5,1,±500,n/a,n/a,?,?,?,±20,n/a,n/a,100,?
