Region,Country,Location,Size (m),Payload (metric tonnes),Degrees of Freedom,X Horiz Disp (mm),Y Horiz Disp (mm),Z Vert Disp (mm),X Horiz Vel (mm/s),Y Horiz vel (mm/s),Z Vert vel (mm/s),X Horiz accel (m/s2),Y Horiz accel (m/s2),Z Vert accel (m/s2),Max Freq (Hz),Details checked
Canada,Canada,University of Sherbrooke,? x ?,?,?,?,?,?,?,?,?,?,?,?,?,?
Europe,France,"Commissariat à l'Energie Atomique et aux Energies Alternatives (CEA), AZALEE (1 of 3)",6 x 6,100,6,±125,±125,±100,±700,±700,±700,±10,±10,±25,50,27/01/2011
Europe,France,"Commissariat à l'Energie Atomique et aux Energies Alternatives (CEA), VESUVE (2 of 3)",4 x 3,20,1,±125,n/a,n/a,±1000,n/a,n/a,±10,n/a,n/a,50,27/01/2011
Europe,France,"Commissariat à l'Energie Atomique et aux Energies Alternatives (CEA), TOURNESOL (3 of 3)",2 x 2,10,3,±125,n/a,±100,±2000,n/a,±1300,±10,n/a,10,50,27/01/2011
Europe,France,FCBA Institut technologique,6 x 6,10,1,±125,n/a,n/a,±800,n/a,n/a,±20,n/a,n/a,50,02/2011
Europe,Greece,Aristotle University of Thessaloniki,1.2 x 1.2,15,2,±50,n/a,±50,?,n/a,?,?,n/a,?,30,?
Europe,Greece,National Technical University of Athens,4 x 4,10,6,±100,±100,±100,±1000,±1000,±1000,±20,±20,±40,100,12/3/2008
Europe,Italy,Ansaldo Meccanica Nucleare,3.5 x 3.5,6,3,±70,?,?,±860,?,?,?,?,?,60,?
Europe,Italy,"Department of Structures for Engineering and Architecture, University of Naples  - Shake Table",4 x 4,20,2,±250,±250,n/a,±1000,±1000,n/a,10,10,n/a,50,-
Europe,Italy,ENEA,4 x 4,10,6,±125,±125,±125,±500,±500,±500,±30,±30,±30,50,?
Europe,Italy,Enel. Hydro S.p.A.; business unit ISMES (1 of 3),4 x 4,60,6,±100,±100,±100,±550,±550,±440,±30,±30,±20,120,?
Europe,Italy,European Centre for Training & Research in Earthquake Engineering (EUCENTRE)  - Shake Table,5.6 x 7,140,1,±500,-,-,±2200,-,-,59,-,-,50,-
