Region,Country,Location,Size (m),Payload (metric tonnes),Degrees of Freedom,X Horiz Disp (mm),Y Horiz Disp (mm),Z Vert Disp (mm),X Horiz Vel (mm/s),Y Horiz vel (mm/s),Z Vert vel (mm/s),X Horiz accel (m/s2),Y Horiz accel (m/s2),Z Vert accel (m/s2),Max Freq (Hz),Details checked
Asia,Pakistan,"Earthquake Engineering Center, University of Engineering & Technology Peshawar",6.0 x 6.0,60,6,±300,±300,±300,±1100,±1100,±1100,±14.7,±14.7,±14.7,50,
North America,Mexico,Universidad Nacional Autónoma de México (UNAM),4 x 4,20,5,±150,±150,±75,±1100,±1100,±450,±10,±10,±10,60,10/9/2008
USA,Colorado,"ANCO Engineers, Inc Boulder, Colorado",3 x 3,10,3,±200,±200,±200,±2000,±2000,±2000,±30,±30,±30,40,16/10/2012
USA,Alabama,NASA,3 x 4.5,1,6,±2440,?,?,±100,?,?,?,?,?,?,?
USA,Alabama,Wyle Laboratories (1 of 3),6.1 x 5.5,27,2,±152,?,?,±890,?,?,±60,?,?,100,16/10/2012
USA,Alabama,Wyle Laboratories (2 of 3),2.7 x 2.7,4.5,3,±250,±250,±250,±1120,±1120,±1120,±45,±45,±45,100,16/10/2012
USA,Alabama,Wyle Laboratories (3 of 3),2.4 x 2.4,4.5,2,±305,n/a,±228,±1168,n/a,±838,±70,n/a,±80,70,16/10/2012
USA,North Carolina,Duke University,1.2 x 1.2,5,1,±75,n/a,n/a,±500,n/a,n/a,±50,n/a,n/a,60,15/4/2008
USA,California,University of California at Berkeley,6.1 x 6.1,45,6,±127,±127,±51,±762,±762,±254,±15,±15,±20,20,30/4/2008
USA,California,"California State University, Fresno",2.4 x 2.0,?,1,±125,n/a,n/a,?,n/a,n/a,?,n/a,n/a,?,19/11/2009
USA,California,University of California at San Diego,12.2 x 7.6,2000,1,±750,n/a,n/a,±1800,n/a,n/a,±10,n/a,n/a,20,7/7/2008
