Region,Country,Location,Size (m),Payload (metric tonnes),Degrees of Freedom,X Horiz Disp (mm),Y Horiz Disp (mm),Z Vert Disp (mm),X Horiz Vel (mm/s),Y Horiz vel (mm/s),Z Vert vel (mm/s),X Horiz accel (m/s2),Y Horiz accel (m/s2),Z Vert accel (m/s2),Max Freq (Hz),Details checked
Asia,India,"CPRI Bangalore,Karnataka",3 x 3,10,6,?,?,?,?,?,?,?,?,?,?,?
Asia,India,"IISc, Bangalore",1 x 1,0.5,6,±220,±220,±100,±570,±570,±570,±30,±30,±20,50,23/7/2008
Asia,India,"SERC, Chennai (1 of 3), Tamil Nadu",4 x 4,30,3,?,?,?,?,?,?,?,?,?,?,?
Asia,India,"SERC, Chennai (2 of 3),Tamil Nadu",2 x 2,5,3,?,?,?,?,?,?,?,?,?,?,?
Asia,India,"SERC, Chennai (3 of 3),Tamil Nadu",3 x 3,10,6,?,?,?,?,?,?,?,?,?,?,?
Asia,India,"Indira Gandhi Centre for Atomic Research(IGCAR), Chennai,Tamil Nadu",3 x 3,10,6,±100,±100,±100,300,300,?,±14.715,±14.715,9.81,100,?
Asia,India,"IIT Roorkee,Uttarakhand",3.5 x 3.5,20,2,?,n/a,?,?,n/a,?,?,n/a,?,?,?
Asia,India,"IIT Kanpur,Uttar Pradesh",1.2 x 1.8,4,1,±75,n/a,n/a,±1500,n/a,n/a,±50,n/a,n/a,50,25/6/2009
Asia,India,"Bengal Engineering and Science University, Shibpur,West Bengal",1.5 x 1.5,?,1,?,n/a,n/a,?,n/a,n/a,?,n/a,n/a,?,19/11/2009
Asia,Iran,Iran University of Science & Technology (IUST),2 x 0.5,5,1,±60,n/a,n/a,?,n/a,n/a,±6.5,n/a,n/a,?,?
Asia,Iran,Sharif University of Technology (SUT)),4 x 4,30,3,±125,±200,?,±500,±800,?,±50,±40,?,50,7/19/2011
Asia,Japan,Aichi Institute of Technology,11 x 6,136,1,±150,?,?,±1000,?,?,±10,?,?,50,?
