Week #,Theme,Song Choice,Original Artist,Order #,Result
Audition,Auditioner's Choice,"\Tempos Modernos\""""",Lulu Santos,N/A,Advanced
Theater,First Solo,"\A Sombra Da Maldade\""""",Cidade Negra,N/A,Advanced
Top 30,Semi-Final/Group 3,"\Noite Do Prazer\""""",Cláudio Zoli,10,Advanced
Top 10,My Idol,"\Paraíso\""""",Cláudio Zoli,6,Safe
Top 9,Male Singers,"\Último Romântico\""""",Lulu Santos,8,Safe
Top 8,Female Singers,"\Lanterna dos Afogados\""""",Cássia Eller,1,Safe
Top 7,Birth Year Songs,"\Frisson\""""",Tunai,4,Safe
Top 6,Jovem Pan Hits,"\Do Seu Lado\""""",Jota Quest,6,Safe
Top 5,Jovem Guarda,"\O Bom\""""",Eduardo Araújo,3,Safe
Top 5,Jovem Guarda,"\Vem Me Ajudar\""""",The Fevers,8,Safe
