Year,Title,Role,Notes,Random_Column_1,Filler_2,Irrelevant_3
2007,30 Rock,Gerhardt Hapsburg,"Episode: \Black Tie\""""",fuEcfq,THqSvK,Ydmo28
2007,Dirt,Chuck Lafoon,3 episodes,tqzblrwq,CPiVifTU,ob8cZ0
2007,"Tim and Eric Awesome Show, Great Job!",The Moon,"Episode: \Cats\""""",83yPMHEw,sxkdw,o5ihQV
2007-2009,Chowder,Reuben,Voice3 episodes,vrH8Ax,GmvmSH,vQMkw
2007,Pushing Daisies,Oscar Vibenius,2 episodes,OWcE562,KHxxNv,GESxQuuT
2009-2011,Batman: The Brave and the Bold,Bat-Mite,Voice4 episodes,8n3RS,VyAKTe,rZch0P
2010,Adventure Time,Gnome Ruler,"VoiceEpisode: \Power Animal\""""",P01FB,UKhmO,I8bj3i
2011,The Pee-wee Herman Show,Pee-wee Herman,"TV MovieNominated - Primetime Emmy Award for Outstanding Variety, Music or Comedy Special",YCVFf9w,fhGKum,Z2utyO4
2012–2013,Tron: Uprising,Pavel,Voice17 episodes,VJw4giGu,gLtGeeZU,KDSAES8g
2012,Robot Chicken DC Comics Special,The Riddler,VoiceTV Movie,pjuvIE,iEOEngF,ClQDNcuD
2013,Comedy Bang! Bang!,Pee-wee Herman,"Episode: \Pee Wee Herman Wears a Halloween Costume\""""",VH5Bs,jvfGvxcw,CbSgB
